name,sample,OH_over_solar,DTG,DTG_err_low,DTG_err_high,DTM,DTM_err_low,DTM_err_high,OH_err_low,OH_err_high
UGC09299,HIGH,0.3591952015162367,0.00028606376166353067,5.3392527621869e-05,8.144711428468941e-05,0.055901971600332015,0.015774177414994258,0.02208311373591633,0.03034426391180479,0.033569495033823
,HRS_LTG,0.35952450478778225,0.005071500598808385,0.0010163164211163247,0.0013383642883991543,0.5119053954173004,0.25374381530204954,0.3203431125210716,0.030600498625058325,0.030600498625058325
,HRS_LTG,0.3632758405827903,0.004152842110400698,0.0011935281156245274,0.0017873037333588707,0.45944098453812016,0.28337686325644557,0.4049012839448117,0.030919789088736268,0.030919789088736268
UGC07000,HIGH,0.36418190287690977,0.002124724341811043,0.0004797329516225211,0.0006924767040857463,0.3025392474670857,0.11742013002843567,0.16190137888123432,0.02344954912512001,0.02471182001213792
,HRS_LTG,0.36577487911481876,0.004053445035658208,0.0009081948108749368,0.0011117000298421663,0.4517320974966522,0.22305338126003263,0.26441898730734487,0.031132491767260073,0.031132491767260073
UGC07396,HAPLESS,0.3710805862977068,0.00236802772159464,0.0009866911542510152,0.00161602743869634,0.3217839240870065,0.240623121746232,0.3729831779513347,0.04950723383879864,0.05673396353975751
,HRS_LTG,0.3734379614600798,0.0016497157683326399,0.0002934177650349074,0.00035629311830265883,0.2472426467563,0.07946162422160218,0.09197976093318319,0.03178472586437199,0.03178472586437199
,HRS_LTG,0.3772715081385408,0.0012470749694161222,0.00021487578226786334,0.0002540870933297938,0.19727901341282642,0.059137049036616596,0.06686447888361322,0.03211101360916032,0.03211101360916032
PGC052652,HAPLESS,0.3778093126718256,0.009698247677564803,0.005732375387898436,0.007258867203647684,0.6561833635533435,1.200436218787641,1.511660176717303,0.04166071657180133,0.04789295981692673
,HRS_LTG,0.3883373247986671,0.0009855136808253374,0.00021353524414088442,0.000268355597892505,0.15873234436038575,0.054392879867630424,0.0648885558487523,0.033052867371515735,0.033052867371515735
NGC1140,DGS,0.3906543779816454,0.0006308584950760283,8.800919410636575e-05,7.160984432864014e-05,0.10719479301398638,0.02587368933179978,0.022752560835417355,0.03325008058451151,0.03325008058451151
UGC09215,HIGH,0.39519759281874256,0.002482946307784383,0.0003771027703212558,0.0004132944604296725,0.3183936417468339,0.08748598651359378,0.09552522553890579,0.02053078241968402,0.022057998635149432
,HRS_LTG,0.4037451358598901,0.005081935108261376,0.0032803618191601723,0.0017259639366070936,0.4834271885846236,0.6452231333754888,0.358981627190983,0.034364284799021594,0.034364284799021594
NGC4030b,HIGH,0.404761089188932,0.00019059333657931734,9.000988738901017e-05,0.0002882854005032986,0.033825350918712783,0.020382681994858643,0.057382984975830505,0.04605810690888817,0.05299400235514374
,HRS_LTG,0.4066163071404729,0.005723363027895154,0.00178186358128345,0.003660467547162944,0.5113637280483193,0.36933633746565986,0.7128374584529398,0.034608661111772916,0.034608661111772916
,HRS_LTG,0.408730823354594,0.0032857566255346917,0.0009596739924224041,0.001644998033654893,0.37409620504961355,0.20640851619418157,0.3310711484284982,0.03478863563267816,0.03478863563267816
