galaxy,gas_fraction,zini_zsun,run,output,time_myr,m_gas,m_metals,m_H,m_O,m_dust_smallC,m_dust_largeC,m_dust_smallSil_Si,m_dust_largeSil_Si,m_dust,OH_over_solar,OHgas_over_solar,Z_over_solar,DTG,DTM_metals,DTM
G9,LG,0.01,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,21,100.0,83650000.0,109200.0,63370000.0,57590.0,7.434,1240.0,302.8,280.7,4827.188601226993,0.11597664280552004,0.11329488440116042,0.09705868628579427,5.770697670325157e-05,0.04420502382076001,0.03699435882507714
G9,LG,0.01,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,41,200.0,104300000.0,160100.0,78940000.0,80560.0,27.24,2374.0,1126.0,1027.0,15609.828957055213,0.13023553459564113,0.12229208023123764,0.11412603763094019,0.00014966278961702027,0.09750049317336174,0.08544016030253798
G9,LG,0.01,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,61,300.1,108300000.0,170500.0,81930000.0,83170.0,81.12,4300.0,1567.0,1890.0,25589.708957055213,0.12954805835056285,0.11725899107457494,0.11705059949815842,0.00023628540126551442,0.15008626954284582,0.13560749616866777
G9,LG,0.01,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,81,400.0,107500000.0,176200.0,81300000.0,83790.0,268.4,7392.0,1751.0,2897.0,36175.73742331288,0.13152515019877864,0.11487423646234139,0.1218639232298781,0.00033651848765872444,0.20531065506988014,0.19022948743946155
G9,LG,0.03,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,21,100.0,109400000.0,236300.0,82760000.0,113400.0,35.79,1739.0,2393.0,3083.0,35369.882024539875,0.17486372843741724,0.15559267505044522,0.16059207709507078,0.00032330787956617803,0.1496821075943287,0.13746567557115827
G9,LG,0.03,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,41,200.0,113700000.0,271700.0,85950000.0,128200.0,173.4,2678.0,2713.0,5442.0,52882.074846625765,0.19034843292207937,0.16271463474350495,0.1776670492033755,0.00046510180164138754,0.19463406274061745,0.18166716200782052
G9,LG,0.03,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,61,300.2,112500000.0,279800.0,85050000.0,130200.0,632.7,4372.0,2810.0,6822.0,64096.724539877294,0.19536368024469242,0.16237957913834927,0.18491532424617926,0.000569748662576687,0.22908050228690954,0.2168289177691836
G9,LG,0.03,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,81,400.1,113200000.0,289000.0,85530000.0,133200.0,1211.0,7298.0,2723.0,7888.0,73607.15950920245,0.19874349114402776,0.16261079743905496,0.18981438911292972,0.0006502399249929546,0.2546960536650604,0.24325312772568838
G9,LG,0.1,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,21,100.1,127500000.0,680300.0,96050000.0,308800.0,3849.0,4465.0,6743.0,18450.0,162872.28220858896,0.41028636473144486,0.3338948688192113,0.39670529922005976,0.00127742966438109,0.23941243893662936,0.23148754477260539
G9,LG,0.1,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,41,200.0,133800000.0,758000.0,100700000.0,345700.0,9507.0,18040.0,7050.0,23650.0,215890.55828220857,0.43810385087514847,0.3493123489960672,0.42120237162496316,0.0016135318257265215,0.2848160399501432,0.2738282059474946
