#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 5.50  1.345e-02 0.900    p -3.16e-01  2.97e+00  3.29e+00  4.60e+00
 5.50  1.345e-02 0.900   He  2.80e-01  1.53e+00  1.25e+00  4.60e+00
 5.50  1.345e-02 0.900    C -2.17e-03  7.33e-03  9.53e-03  4.60e+00
 5.50  1.345e-02 0.900    N  4.06e-02  4.40e-02  3.43e-03  4.60e+00
 5.50  1.345e-02 0.900    O -5.17e-03  2.46e-02  2.97e-02  4.60e+00
 5.50  1.345e-02 0.900    F  2.05e-07  1.46e-06  1.26e-06  4.60e+00
 5.50  1.345e-02 0.900   Ne  1.34e-03  6.76e-03  5.43e-03  4.60e+00
 5.50  1.345e-02 0.900   Mg  5.44e-04  2.59e-03  2.04e-03  4.60e+00
 5.50  1.345e-02 0.900   Si  3.46e-05  2.24e-03  2.20e-03  4.60e+00
 5.50  1.345e-02 0.900    S -6.47e-06  1.81e-03  1.82e-03  4.60e+00
 5.50  1.345e-02 0.900   Fe -1.88e-05  3.92e-03  3.94e-03  4.60e+00
 6.00  1.345e-02 0.936    p -4.03e-01  3.22e+00  3.62e+00  5.06e+00
 6.00  1.345e-02 0.936   He  3.71e-01  1.75e+00  1.38e+00  5.06e+00
 6.00  1.345e-02 0.936    C -4.77e-03  5.69e-03  1.05e-02  5.06e+00
 6.00  1.345e-02 0.936    N  4.25e-02  4.62e-02  3.78e-03  5.06e+00
 6.00  1.345e-02 0.936    O -7.92e-03  2.49e-02  3.28e-02  5.06e+00
 6.00  1.345e-02 0.936    F -5.94e-07  7.86e-07  1.38e-06  5.06e+00
 6.00  1.345e-02 0.936   Ne  9.36e-04  6.92e-03  5.97e-03  5.06e+00
 6.00  1.345e-02 0.936   Mg  5.16e-04  2.76e-03  2.25e-03  5.06e+00
 6.00  1.345e-02 0.936   Si  3.79e-05  2.46e-03  2.43e-03  5.06e+00
 6.00  1.345e-02 0.936    S -6.05e-06  2.00e-03  2.00e-03  5.06e+00
 6.00  1.345e-02 0.936   Fe -1.80e-05  4.32e-03  4.35e-03  5.06e+00
