#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 4.00 0.0040 0.852    S -3.01e-06  3.66e-04  3.69e-04  3.14e+00
 4.00 0.0040 0.852   Fe -8.52e-06  7.94e-04  8.02e-04  3.14e+00
 4.50 0.0040 0.872    p -2.66e-01  2.45e+00  2.72e+00  3.62e+00
 4.50 0.0040 0.872   He  2.16e-01  1.11e+00  8.98e-01  3.62e+00
 4.50 0.0040 0.872    C  3.87e-03  6.09e-03  2.23e-03  3.62e+00
 4.50 0.0040 0.872    N  4.50e-02  4.58e-02  8.05e-04  3.62e+00
 4.50 0.0040 0.872    O -8.68e-04  6.11e-03  6.98e-03  3.62e+00
 4.50 0.0040 0.872    F  6.23e-07  9.17e-07  2.94e-07  3.62e+00
 4.50 0.0040 0.872   Ne  1.77e-03  3.05e-03  1.28e-03  3.62e+00
 4.50 0.0040 0.872   Mg  6.69e-04  1.15e-03  4.79e-04  3.62e+00
 4.50 0.0040 0.872   Si  3.14e-05  5.48e-04  5.16e-04  3.62e+00
 4.50 0.0040 0.872    S -4.71e-06  4.21e-04  4.25e-04  3.62e+00
 4.50 0.0040 0.872   Fe -1.47e-05  9.10e-04  9.24e-04  3.62e+00
 5.00 0.0040 0.905    p -4.29e-01  2.64e+00  3.07e+00  4.09e+00
 5.00 0.0040 0.905   He  3.60e-01  1.37e+00  1.01e+00  4.09e+00
 5.00 0.0040 0.905    C  3.36e-03  5.87e-03  2.51e-03  4.09e+00
 5.00 0.0040 0.905    N  6.47e-02  6.56e-02  9.09e-04  4.09e+00
 5.00 0.0040 0.905    O -2.76e-03  5.12e-03  7.88e-03  4.09e+00
 5.00 0.0040 0.905    F  3.04e-07  6.36e-07  3.32e-07  4.09e+00
 5.00 0.0040 0.905   Ne  2.35e-03  3.78e-03  1.44e-03  4.09e+00
 5.00 0.0040 0.905   Mg  1.30e-03  1.84e-03  5.41e-04  4.09e+00
 5.00 0.0040 0.905   Si  5.90e-05  6.41e-04  5.82e-04  4.09e+00
 5.00 0.0040 0.905    S -6.88e-06  4.73e-04  4.81e-04  4.09e+00
 5.00 0.0040 0.905   Fe -2.34e-05  1.02e-03  1.04e-03  4.09e+00
 5.50 0.0040 0.932    p -4.30e-01  2.99e+00  3.42e+00  4.57e+00
 5.50 0.0040 0.932   He  3.80e-01  1.51e+00  1.13e+00  4.57e+00
 5.50 0.0040 0.932    C  3.27e-03  6.07e-03  2.80e-03  4.57e+00
 5.50 0.0040 0.932    N  4.76e-02  4.86e-02  1.01e-03  4.57e+00
 5.50 0.0040 0.932    O -3.20e-03  5.60e-03  8.79e-03  4.57e+00
 5.50 0.0040 0.932    F  1.41e-07  5.11e-07  3.70e-07  4.57e+00
 5.50 0.0040 0.932   Ne  1.18e-03  2.79e-03  1.60e-03  4.57e+00
 5.50 0.0040 0.932   Mg  7.12e-04  1.32e-03  6.04e-04  4.57e+00
 5.50 0.0040 0.932   Si  3.80e-05  6.88e-04  6.50e-04  4.57e+00
 5.50 0.0040 0.932    S -4.68e-06  5.31e-04  5.36e-04  4.57e+00
 5.50 0.0040 0.932   Fe -1.56e-05  1.15e-03  1.16e-03  4.57e+00
 6.00 0.0040 0.977    p -5.54e-01  3.21e+00  3.76e+00  5.03e+00
 6.00 0.0040 0.977   He  5.03e-01  1.75e+00  1.24e+00  5.03e+00
 6.00 0.0040 0.977    C  1.93e-03  5.02e-03  3.09e-03  5.03e+00
 6.00 0.0040 0.977    N  5.29e-02  5.40e-02  1.11e-03  5.03e+00
 6.00 0.0040 0.977    O -5.82e-03  3.84e-03  9.67e-03  5.03e+00
 6.00 0.0040 0.977    F -1.80e-07  2.27e-07  4.07e-07  5.03e+00
 6.00 0.0040 0.977   Ne  9.15e-04  2.67e-03  1.77e-03  5.03e+00
 6.00 0.0040 0.977   Mg  8.23e-04  1.49e-03  6.64e-04  5.03e+00
 6.00 0.0040 0.977   Si  4.53e-05  7.60e-04  7.15e-04  5.03e+00
 6.00 0.0040 0.977    S -4.79e-06  5.85e-04  5.89e-04  5.03e+00
 6.00 0.0040 0.977   Fe -1.65e-05  1.27e-03  1.28e-03  5.03e+00
