# Temp      kappa_abs_P kappa_ext_P kappa_abs_R kappa_ext_R
# [K]       [cm^2/g]    [cm^2/g]    [cm^2/g]    [cm^2/g]
1.40233e+03 1.62352e+03 2.36569e+03 1.67393e+03 2.24322e+03
1.43044e+03 1.63588e+03 2.42173e+03 1.68796e+03 2.28319e+03
1.45911e+03 1.64881e+03 2.48055e+03 1.70245e+03 2.32464e+03
1.48836e+03 1.66234e+03 2.54226e+03 1.71743e+03 2.36762e+03
1.51820e+03 1.67648e+03 2.60695e+03 1.73289e+03 2.41220e+03
1.54863e+03 1.69125e+03 2.67475e+03 1.74887e+03 2.45842e+03
1.57967e+03 1.70669e+03 2.74575e+03 1.76538e+03 2.50635e+03
1.61134e+03 1.72282e+03 2.82008e+03 1.78244e+03 2.55605e+03
1.64363e+03 1.73967e+03 2.89784e+03 1.80006e+03 2.60758e+03
1.67658e+03 1.75726e+03 2.97916e+03 1.81825e+03 2.66102e+03
1.71019e+03 1.77561e+03 3.06414e+03 1.83705e+03 2.71642e+03
1.74447e+03 1.79477e+03 3.15290e+03 1.85647e+03 2.77385e+03
1.77944e+03 1.81476e+03 3.24557e+03 1.87652e+03 2.83340e+03
1.81510e+03 1.83562e+03 3.34226e+03 1.89723e+03 2.89513e+03
1.85149e+03 1.85737e+03 3.44308e+03 1.91862e+03 2.95912e+03
1.88860e+03 1.88006e+03 3.54817e+03 1.94070e+03 3.02544e+03
1.92646e+03 1.90372e+03 3.65764e+03 1.96350e+03 3.09419e+03
1.96507e+03 1.92839e+03 3.77161e+03 1.98705e+03 3.16544e+03
2.00446e+03 1.95411e+03 3.89021e+03 2.01135e+03 3.23928e+03
2.04464e+03 1.98093e+03 4.01356e+03 2.03645e+03 3.31580e+03
2.08563e+03 2.00889e+03 4.14177e+03 2.06235e+03 3.39510e+03
2.12743e+03 2.03804e+03 4.27498e+03 2.08909e+03 3.47725e+03
2.17008e+03 2.06843e+03 4.41330e+03 2.11669e+03 3.56237e+03
2.21358e+03 2.10012e+03 4.55685e+03 2.14519e+03 3.65055e+03
2.25795e+03 2.13316e+03 4.70577e+03 2.17460e+03 3.74189e+03
2.30321e+03 2.16761e+03 4.86016e+03 2.20497e+03 3.83651e+03
2.34938e+03 2.20353e+03 5.02015e+03 2.23631e+03 3.93450e+03
2.39647e+03 2.24100e+03 5.18586e+03 2.26867e+03 4.03598e+03
2.44451e+03 2.28009e+03 5.35742e+03 2.30207e+03 4.14107e+03
2.49351e+03 2.32085e+03 5.53492e+03 2.33656e+03 4.24988e+03
