energy[ev]	n-1     k
      1161.80  -0.00048332814   9.9639089e-05
      1161.90  -0.00048324532   9.9609049e-05
      1162.00  -0.00048316252   9.9579018e-05
      1162.10  -0.00048307974   9.9548997e-05
      1162.20  -0.00048299699   9.9518984e-05
      1162.30  -0.00048291415   9.9488943e-05
      1162.40  -0.00048283144   9.9458948e-05
      1162.50  -0.00048274874   9.9428961e-05
      1162.60  -0.00048266607   9.9398984e-05
      1162.70  -0.00048258342   9.9369015e-05
      1162.80  -0.00048250069   9.9339019e-05
      1162.90  -0.00048241808   9.9309067e-05
      1163.00  -0.00048233549   9.9279125e-05
      1163.10  -0.00048225293   9.9249192e-05
      1163.20  -0.00048217038   9.9219267e-05
      1163.30  -0.00048208776   9.9189315e-05
      1163.40  -0.00048200526   9.9159408e-05
      1163.50  -0.00048192278   9.9129510e-05
      1163.60  -0.00048184032   9.9099621e-05
      1163.70  -0.00048175788   9.9069740e-05
      1163.80  -0.00048167536   9.9039832e-05
      1163.90  -0.00048159296   9.9009969e-05
      1164.00  -0.00048151059   9.8980115e-05
      1164.10  -0.00048142824   9.8950270e-05
      1164.20  -0.00048134590   9.8920433e-05
      1164.30  -0.00048126349   9.8890569e-05
      1164.40  -0.00048118120   9.8860750e-05
      1164.50  -0.00048109893   9.8830940e-05
      1164.60  -0.00048101669   9.8801139e-05
      1164.70  -0.00048093446   9.8771346e-05
      1164.80  -0.00048085215   9.8741526e-05
      1164.90  -0.00048076997   9.8711751e-05
      1165.00  -0.00048068781   9.8681985e-05
      1165.10  -0.00048060567   9.8652227e-05
      1165.20  -0.00048052355   9.8622479e-05
      1165.30  -0.00048044135   9.8592702e-05
      1165.40  -0.00048035927   9.8562971e-05
      1165.50  -0.00048027721   9.8533249e-05
      1165.60  -0.00048019517   9.8503535e-05
      1165.70  -0.00048011316   9.8473830e-05
      1165.80  -0.00048003106   9.8444098e-05
