# wavelength (nm)
# intensity (erg s-1 cm-2 nm-1 sr-1)
col1 col2
93.57 1.7986222133646818e-06
93.58 1.799178332149671e-06
93.59 1.799735345511298e-06
93.6 1.8002939287027482e-06
93.61 1.8008537434870526e-06
93.62 1.8014147894695546e-06
93.63 1.8019770662557657e-06
93.64 1.8025405734513663e-06
93.65 1.8031053106622046e-06
93.66 1.803671277494298e-06
93.67 1.8042384735538312e-06
93.68 1.804807235928666e-06
93.69 1.8053768892262857e-06
93.7 1.8059477705709172e-06
93.71 1.806520216942886e-06
93.72 1.8070935531662823e-06
93.73 1.8076684535592521e-06
93.74 1.8082442430902147e-06
93.75 1.808821258704167e-06
93.76 1.8093998372023597e-06
93.77 1.8099793037695864e-06
93.78 1.8105603323650413e-06
93.79 1.8111422483176912e-06
93.8 1.811725725443258e-06
93.81 1.812310089214819e-06
93.82 1.8128956763267714e-06
93.83 1.8134828233299783e-06
93.84 1.8140708559135684e-06
93.85 1.8146604475348466e-06
93.86 1.8152509240268974e-06
93.87 1.8158426219053456e-06
93.88 1.8164355407798887e-06
93.89 1.8170296802603902e-06
93.9 1.8176253766476972e-06
93.91 1.81822195613452e-06
93.92 1.818819755057897e-06
93.93 1.819418436445074e-06
93.94 1.8200186731091398e-06
93.95 1.8206201280418338e-06
93.96 1.8212228008541825e-06
93.97 1.8218263547173655e-06
93.98 1.8224314621585592e-06
93.99 1.823037449945049e-06
94.0 1.823644990461144e-06
94.01 1.8242534106176279e-06
94.02 1.8248630463949137e-06
94.03 1.8254738974051608e-06
94.04 1.8260859632606945e-06
94.05 1.8266992435740043e-06
94.06 1.8273137379577448e-06
94.07 1.8279291099423724e-06
94.08 1.828546031341318e-06
94.09 1.829163829638714e-06
94.1 1.829782840530212e-06
94.11 1.8304030636292664e-06
94.12 1.8310244985494953e-06
94.13 1.8316471449046815e-06
94.14 1.832270666476312e-06
94.15 1.8328957345790877e-06
94.16 1.8335216771980175e-06
94.17 1.8341488297799786e-06
94.18 1.8347771919395484e-06
94.19 1.8354067632914722e-06
94.2 1.8360372078321024e-06
94.21 1.8366688608663123e-06
