# Numerical radiation field:  mathis1983
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
   97.3400 6.409387e+05
   97.3500 6.412836e+05
   97.3600 6.416287e+05
   97.3700 6.419741e+05
   97.3800 6.423197e+05
   97.3900 6.426655e+05
   97.4000 6.430116e+05
   97.4100 6.433580e+05
   97.4200 6.437045e+05
   97.4300 6.440514e+05
   97.4400 6.443984e+05
   97.4500 6.447457e+05
   97.4600 6.450933e+05
   97.4700 6.454411e+05
   97.4800 6.457891e+05
   97.4900 6.461374e+05
   97.5000 6.464859e+05
   97.5100 6.468347e+05
   97.5200 6.471836e+05
   97.5300 6.475329e+05
   97.5400 6.478823e+05
   97.5500 6.482321e+05
   97.5600 6.485820e+05
   97.5700 6.489322e+05
   97.5800 6.492826e+05
   97.5900 6.496333e+05
   97.6000 6.499841e+05
   97.6100 6.503353e+05
   97.6200 6.506866e+05
   97.6300 6.510382e+05
   97.6400 6.513901e+05
   97.6500 6.517421e+05
   97.6600 6.520944e+05
   97.6700 6.524469e+05
   97.6800 6.527997e+05
   97.6900 6.531527e+05
   97.7000 6.535059e+05
   97.7100 6.538594e+05
   97.7200 6.542131e+05
   97.7300 6.545670e+05
   97.7400 6.549211e+05
   97.7500 6.552755e+05
   97.7600 6.556301e+05
   97.7700 6.559849e+05
   97.7800 6.563400e+05
   97.7900 6.566953e+05
   97.8000 6.570508e+05
   97.8100 6.574066e+05
   97.8200 6.577625e+05
   97.8300 6.581187e+05
   97.8400 6.584751e+05
   97.8500 6.588318e+05
   97.8600 6.591887e+05
   97.8700 6.595458e+05
   97.8800 6.599031e+05
   97.8900 6.602606e+05
   97.9000 6.606184e+05
   97.9100 6.609764e+05
   97.9200 6.613346e+05
   97.9300 6.616930e+05
   97.9400 6.620517e+05
   97.9500 6.624105e+05
   97.9600 6.627696e+05
   97.9700 6.631289e+05
   97.9800 6.634885e+05
   97.9900 6.638482e+05
   98.0000 6.642082e+05
   98.0100 6.645684e+05
   98.0200 6.649288e+05
   98.0300 6.652894e+05
   98.0400 6.656503e+05
   98.0500 6.660113e+05
   98.0600 6.663726e+05
   98.0700 6.667341e+05
   98.0800 6.670958e+05
   98.0900 6.674577e+05
   98.1000 6.678198e+05
   98.1100 6.681822e+05
   98.1200 6.685447e+05
   98.1300 6.689075e+05
   98.1400 6.692705e+05
   98.1500 6.696337e+05
   98.1600 6.699971e+05
   98.1700 6.703607e+05
   98.1800 6.707246e+05
   98.1900 6.710886e+05
   98.2000 6.714529e+05
   98.2100 6.718173e+05
   98.2200 6.721820e+05
   98.2300 6.725469e+05
   98.2400 6.729120e+05
   98.2500 6.732773e+05
   98.2600 6.736428e+05
   98.2700 6.740085e+05
   98.2800 6.743744e+05
   98.2900 6.747405e+05
   98.3000 6.751068e+05
   98.3100 6.754734e+05
   98.3200 6.758401e+05
   98.3300 6.762071e+05
   98.3400 6.765742e+05
   98.3500 6.769416e+05
   98.3600 6.773091e+05
   98.3700 6.776769e+05
   98.3800 6.780448e+05
   98.3900 6.784130e+05
   98.4000 6.787814e+05
   98.4100 6.791499e+05
   98.4200 6.795187e+05
   98.4300 6.798877e+05
   98.4400 6.802568e+05
   98.4500 6.806262e+05
   98.4600 6.809957e+05
   98.4700 6.813655e+05
   98.4800 6.817355e+05
   98.4900 6.821056e+05
   98.5000 6.824760e+05
   98.5100 6.828465e+05
   98.5200 6.832173e+05
   98.5300 6.835882e+05
   98.5400 6.839594e+05
   98.5500 6.843307e+05
   98.5600 6.847022e+05
   98.5700 6.850739e+05
   98.5800 6.854459e+05
   98.5900 6.858180e+05
   98.6000 6.861903e+05
   98.6100 6.865628e+05
   98.6200 6.869354e+05
   98.6300 6.873083e+05
   98.6400 6.876814e+05
   98.6500 6.880547e+05
   98.6600 6.884281e+05
   98.6700 6.888017e+05
   98.6800 6.891756e+05
   98.6900 6.895496e+05
   98.7000 6.899238e+05
   98.7100 6.902982e+05
   98.7200 6.906728e+05
   98.7300 6.910475e+05
   98.7400 6.914225e+05
   98.7500 6.917976e+05
   98.7600 6.921730e+05
   98.7700 6.925485e+05
   98.7800 6.929242e+05
   98.7900 6.933001e+05
   98.8000 6.936761e+05
   98.8100 6.940524e+05
   98.8200 6.944288e+05
   98.8300 6.948054e+05
   98.8400 6.951822e+05
   98.8500 6.955592e+05
   98.8600 6.959364e+05
   98.8700 6.963137e+05
   98.8800 6.966913e+05
   98.8900 6.970690e+05
   98.9000 6.974469e+05
   98.9100 6.978249e+05
   98.9200 6.982032e+05
   98.9300 6.985816e+05
   98.9400 6.989602e+05
   98.9500 6.993390e+05
   98.9600 6.997179e+05
   98.9700 7.000971e+05
   98.9800 7.004764e+05
   98.9900 7.008559e+05
   99.0000 7.012355e+05
   99.0100 7.016154e+05
   99.0200 7.019954e+05
   99.0300 7.023756e+05
   99.0400 7.027559e+05
   99.0500 7.031365e+05
   99.0600 7.035172e+05
   99.0700 7.038980e+05
   99.0800 7.042791e+05
   99.0900 7.046603e+05
   99.1000 7.050417e+05
   99.1100 7.054233e+05
   99.1200 7.058050e+05
   99.1300 7.061869e+05
   99.1400 7.065690e+05
   99.1500 7.069513e+05
   99.1600 7.073337e+05
   99.1700 7.077163e+05
   99.1800 7.080990e+05
   99.1900 7.084819e+05
   99.2000 7.088650e+05
   99.2100 7.092483e+05
   99.2200 7.096317e+05
   99.2300 7.100153e+05
   99.2400 7.103990e+05
   99.2500 7.107829e+05
   99.2600 7.111670e+05
   99.2700 7.115512e+05
   99.2800 7.119357e+05
   99.2900 7.123202e+05
   99.3000 7.127050e+05
   99.3100 7.130899e+05
   99.3200 7.134749e+05
   99.3300 7.138601e+05
   99.3400 7.142455e+05
   99.3500 7.146310e+05
   99.3600 7.150167e+05
   99.3700 7.154026e+05
   99.3800 7.157886e+05
   99.3900 7.161748e+05
   99.4000 7.165611e+05
   99.4100 7.169476e+05
   99.4200 7.173343e+05
   99.4300 7.177211e+05
   99.4400 7.181081e+05
   99.4500 7.184952e+05
   99.4600 7.188825e+05
   99.4700 7.192699e+05
   99.4800 7.196575e+05
   99.4900 7.200452e+05
   99.5000 7.204331e+05
   99.5100 7.208212e+05
   99.5200 7.212094e+05
   99.5300 7.215977e+05
   99.5400 7.219863e+05
   99.5500 7.223749e+05
   99.5600 7.227637e+05
   99.5700 7.231527e+05
   99.5800 7.235418e+05
   99.5900 7.239311e+05
   99.6000 7.243205e+05
   99.6100 7.247101e+05
   99.6200 7.250998e+05
   99.6300 7.254896e+05
   99.6400 7.258796e+05
   99.6500 7.262698e+05
   99.6600 7.266601e+05
   99.6700 7.270506e+05
   99.6800 7.274412e+05
   99.6900 7.278319e+05
   99.7000 7.282228e+05
   99.7100 7.286138e+05
   99.7200 7.290050e+05
   99.7300 7.293963e+05
   99.7400 7.297878e+05
   99.7500 7.301794e+05
   99.7600 7.305712e+05
   99.7700 7.309631e+05
   99.7800 7.313551e+05
   99.7900 7.317473e+05
   99.8000 7.321396e+05
   99.8100 7.325321e+05
   99.8200 7.329247e+05
   99.8300 7.333174e+05
   99.8400 7.337103e+05
   99.8500 7.341033e+05
   99.8600 7.344965e+05
   99.8700 7.348898e+05
   99.8800 7.352832e+05
   99.8900 7.356768e+05
   99.9000 7.360705e+05
   99.9100 7.364644e+05
   99.9200 7.368584e+05
   99.9300 7.372525e+05
   99.9400 7.376467e+05
   99.9500 7.380411e+05
   99.9600 7.384356e+05
   99.9700 7.388303e+05
   99.9800 7.392251e+05
   99.9900 7.396200e+05
  100.0000 7.400151e+05
  100.0100 7.404103e+05
  100.0200 7.408056e+05
  100.0300 7.412010e+05
  100.0400 7.415966e+05
  100.0500 7.419923e+05
  100.0600 7.423882e+05
  100.0700 7.427842e+05
  100.0800 7.431803e+05
  100.0900 7.435765e+05
  100.1000 7.439729e+05
  100.1100 7.443694e+05
  100.1200 7.447660e+05
  100.1300 7.451627e+05
  100.1400 7.455596e+05
  100.1500 7.459566e+05
  100.1600 7.463537e+05
  100.1700 7.467510e+05
  100.1800 7.471483e+05
  100.1900 7.475458e+05
  100.2000 7.479435e+05
  100.2100 7.483412e+05
  100.2200 7.487391e+05
  100.2300 7.491371e+05
  100.2400 7.495352e+05
  100.2500 7.499334e+05
  100.2600 7.503318e+05
  100.2700 7.507302e+05
  100.2800 7.511288e+05
  100.2900 7.515276e+05
  100.3000 7.519264e+05
  100.3100 7.523254e+05
  100.3200 7.527244e+05
  100.3300 7.531236e+05
  100.3400 7.535229e+05
  100.3500 7.539224e+05
  100.3600 7.543219e+05
  100.3700 7.547216e+05
  100.3800 7.551214e+05
  100.3900 7.555213e+05
  100.4000 7.559213e+05
  100.4100 7.563214e+05
  100.4200 7.567217e+05
  100.4300 7.571220e+05
  100.4400 7.575225e+05
  100.4500 7.579231e+05
  100.4600 7.583238e+05
  100.4700 7.587246e+05
  100.4800 7.591255e+05
  100.4900 7.595265e+05
  100.5000 7.599277e+05
  100.5100 7.603289e+05
  100.5200 7.607303e+05
  100.5300 7.611318e+05
  100.5400 7.615334e+05
  100.5500 7.619351e+05
  100.5600 7.623369e+05
  100.5700 7.627388e+05
  100.5800 7.631408e+05
  100.5900 7.635429e+05
  100.6000 7.639451e+05
  100.6100 7.643475e+05
  100.6200 7.647499e+05
  100.6300 7.651525e+05
  100.6400 7.655551e+05
  100.6500 7.659579e+05
  100.6600 7.663608e+05
