# Object	Reference	Metallicity	[Fe/H]	[Mg/Fe]
HD2796	J.Melendez+ApJ5754742002	-2.26	-2.26	
HD2796	S.M.Andrievsky+AAP4814812008	-2.47	-2.47	
HD2796	S.M.Andrievsky+AAP49410832009	-2.47	-2.47	
HD2796	R.Cayrel+AAP41611172004	-2.47	-2.45	0.21
HD2796	J.P.Fulbright+ApJ59511542003	-2.2	-2.28	
HD2796	H.Li+ApJ852L312018		-2.49	0.35
HD2796	M.Spite+AAP541A1432012	-2.47	-2.47	
HD2796	T.V.Mishenina+AAP3961892002	-2.21	-2.21	
HD2796	D.L.Burris+ApJ5443022000	-3		
HD2796	K.A.Venn+AJ12811772004		-2.23	
HD2796	S.M.Andrievsky+AAP46410812007	-2.47	-2.47	
HD2796	M.Spite+AAP4552912006	-2.47	-2.47	
HD2796	M.Spite+AAP528A92011	-2.47	-2.47	
HD2796	F.Spite+AAP611A302018	-2.5	-2.47	
HD28005	T.V.Mishenina+AAP552A1282013	0.23	0.23	0.13
HD280067	J.P.Fulbright+AJ12018412000	-0.3	-0.42	0.27
HD280067	R.G.Gratton+AAP4041872003	-0.69	-0.67	0.4
HD280067	K.A.Venn+AJ12811772004		-0.44	0.29
HD283807	B.E.Reddy+MNRAS36713292006	-0.63	-0.68	0.27
HD284248	P.E.Nissen+AAP511L102010	-1.57	-1.57	0.2
HD284248	A.M.Boesgaard+ApJ7431402011	-1.72	-1.72	0.3
HD284248	R.G.Gratton+AAP4041872003	-1.56	-1.61	0.19
HD284248	J.R.Shi+AAP4655872007	-1.61	-1.6	
HD284248	K.A.Venn+AJ12811772004		-1.68	0.32
HD284248	A.Ford+AAP3936172002	-1.61	-1.61	
HD284248	J.P.Fulbright+AJ12018412000	-1.5	-1.66	0.3
HD284248	C.Charbonnel+AAP4429612005	-1.58	-1.58	
HD284248	J.Melendez+AAP515L32010	-1.56	-1.56	
HD284248	P. E. Nissen+AAP530A152011	-1.57	-1.57	
HD28447	T.V.Mishenina+AAP552A1282013	-0.09	-0.09	0.05
HD285571	B.E.Reddy+MNRAS36713292006	-0.24	-0.29	0.11
HD28645	B.E.Reddy+MNRAS36713292006	-0.45	-0.5	0.11
HD286891	B.E.Reddy+MNRAS36713292006	-0.65	-0.7	0.22
HD29139	A.Alves-Brito+AAP513A352010	-0.13	-0.13	-0.03
HD29150	T.V.Mishenina+AAP552A1282013		0	0.07
HD29400	R.G.Gratton+AAP4041872003	-0.35	-0.4	0.26
HD29400	B.E.Reddy+MNRAS36713292006	-0.41	-0.46	0.2
HD29503	A.Alves-Brito+AAP513A352010	-0.05	-0.02	0.02
HD29528	B.E.Reddy+MNRAS36713292006	0.15	0.1	-0.07
HD29645	T.V.Mishenina+AAP552A1282013	0.14	0.14	0.01
HD29907	M.Bergemann+AAP4928232008	-1.6	-1.6	0.41
HD29907	M.Bergemann+MNRAS40113342010	-1.6	-1.6	
HD29907	J.P.Fulbright+AJ12018412000	-1.6	-1.74	0.3
HD29907	R.G.Gratton+AAP4041872003	-1.48	-1.53	0.15
HD29907	R.Smiljanic+AAP4991032009	-1.6	-1.6	
HD29907	K.A.Venn+AJ12811772004		-1.76	0.32
HD30495	T.V.Mishenina+AAP552A1282013	-0.05	-0.05	0.04
HD30495	T.V.Mishenina+AAP547A1062012	-0.05	-0.05	
HD30562	Y.Takeda+PASJ57652005	0.23	0.23	
HD30562	Y.Takeda+PASJ57452005	0.23	0.27	
HD30562	T.V.Mishenina+AAP552A1282013	0.18	0.18	0.01
HD30562	Y.Takeda+PASJ593352007	0.23	0.23	-0.05
HD30608	A.Alves-Brito+AAP513A352010	-0.28	-0.28	0
HD30743	A.M.Boesgaard+ApJ7431402011	-0.62	-0.62	
HD30743	Y.Takeda+PASJ57652005	-0.47	-0.47	
HD30743	Y.Takeda+PASJ57452005	-0.47	-0.05	
HD30743	Y.Takeda+PASJ593352007	-0.47	-0.47	0.14
HD3079	K.A.Venn+AJ12811772004		-0.19	-0.05
HD31128	A.M.Boesgaard+ApJ7431402011	-1.56	-1.56	0.4
HD31128	I.U.Roederer+AJ1471362014	-1.92	-1.87	0.46
HD31128	J.P.Fulbright+AJ12018412000	-1.4	-1.57	0.32
HD31128	T.Bensby+AAP562A712014	-1.62	-1.67	0.37
HD31128	R.G.Gratton+AAP4041872003	-1.5	-1.55	0.29
HD31128	R.Smiljanic+AAP4991032009	-1.4	-1.4	
HD31128	K.A.Venn+AJ12811772004		-1.59	0.34
HD31501	B.E.Reddy+MNRAS36713292006	-0.32	-0.37	0.23
HD32147	T.V.Mishenina+AAP552A1282013	0.13	0.13	-0.08
HD32440	A.Alves-Brito+AAP513A352010	-0.37	-0.37	0.22
HD32923	Y.Takeda+PASJ57652005	-0.2	-0.2	
HD32923	Y.Takeda+PASJ57452005	-0.2	-0.22	
HD32923	Y.Takeda+PASJ593352007	-0.2	-0.2	0.09
HD330	K.A.Venn+AJ12811772004		-0.27	0.05
HD33256	M.Takada-Hidai+ApJ5736142002	-0.3	-0.46	
HD33256	J.Simmerer+ApJ61710912004		-0.43	
HD33256	K.A.Venn+AJ12811772004		-0.3	0.14
HD33632	T.V.Mishenina+AAP552A1282013	-0.24	-0.24	0.1
HD33632A	Y.Q.Chen+1414912000	-0.23	-0.23	0.05
HD33636	Y.Takeda+PASJ57652005	-0.13	-0.13	
HD33636	Y.Takeda+PASJ57452005	-0.13	-0.12	
HD33636	Y.Takeda+PASJ593352007	-0.13	-0.13	-0.05
HD33771	L.Zhang+ApJ70610952009	-2.06	-1.89	0.1
HD33771	M.N.Ishigaki+ApJ753642012	-2.04	-2.04	0.29
HD33771	M.N.Ishigaki+ApJ771672013	-2.03	-2.03	
HD33771	M.Ishigaki+PASJ621432010	-2.23	-2.23	0.58
HD338529	A.Hosford+AAP4936012009	-2.42	-2.39	
HD338529	P.E.Nissen+AAP4693192007	-2.26	-2.26	
HD338529	J.A.Rich+ApJ70115192009	-2.32	-2.32	
HD338529	G.Bihain+AAP4237772004	-2.36	-2.19	
HD338529	T.V.Mishenina+AAP3709512001	-2.31	-2.31	
HD338529	E.Arnone+AAP4305072005		-2.49	0.31
HD338529	A.E.GarciaPerez+AAP5042132009	-2.33	-2.33	
HD338529	J.Melendez+AAP515L32010	-2.29	-2.29	
HD338529	A.M.Boesgaard+ApJ7431402011	-2.32	-2.32	
HD338529	J.R.Shi+AAP4655872007	-2.25	-2.24	
HD338529	A.M.Boesgaard+AJ1174921999	-2.24	-2.07	
HD338529	T.V.Mishenina+AAP3961892002		-2.31	
HD338529	K.A.Venn+AJ12811772004		-2.41	0.56
HD338529	P.E.Nissen+AAP3902352002	-2.34	-2.31	
HD338529	I.U.Roederer+AJ1471362014	-2.41	-2.6	0.4
HD338529	J.P.Fulbright+AJ12018412000	-2.3	-2.39	0.54
HD338529	C.Charbonnel+AAP4429612005	-2.42	-2.42	
HD338529	D.Fabbian+AAP50011432009	-2.26	-2.31	
HD338529	M.Asplund+ApJ6442292006	-2.26	-2.26	
HD338529	T.Gehren+AAP45110652006	-2.25	-2.24	0.18
HD340279	A.M.Boesgaard+ApJ633L1252005	-2.71	-2.7	
HD340279	P.E.Nissen+AAP4693192007	-2.54	-2.54	
HD340279	J.Melendez+ApJ64210822006	-2.3	-2.56	
HD340279	C.J.Akerman+AAP4149312004	-2.62	-2.62	
HD340279	I.U.Roederer+AJ1471362014	-2.9	-3.07	0.24
HD340279	C.Charbonnel+AAP4429612005	-2.83	-2.83	
HD340279	D.Fabbian+AAP50011432009	-2.54	-2.59	
HD340279	P.E.Nissen+AAP4159932004	-2.62	-2.62	
HD3403	B.E.Reddy+MNRAS36713292006	-0.28	-0.33	0.18
HD34328	M.Bergemann+AAP4928232008	-1.66	-1.66	0.4
HD34328	R.G.Gratton+AAP4041872003	-1.65	-1.7	0.29
HD34328	M.Bergemann+AAP522A92010	-1.66	-1.66	
HD34328	K.A.Venn+AJ12811772004		-1.71	0.28
HD34328	J.P.Fulbright+AJ12018412000	-1.5	-1.69	0.26
HD34328	M.Bergemann+MNRAS40113342010	-1.66	-1.66	
HD34328	C.Charbonnel+AAP4429612005	-1.61	-1.61	
HD34328	E.Caffau+AAP4415332005	-1.69	-1.69	
HD34328	R.Smiljanic+AAP4991032009	-1.5	-1.5	
HD3440	K.A.Venn+AJ12811772004		-0.36	0.08
HD34411	M.Takada-Hidai+ApJ5736142002	0.05	0.12	
HD34411	Y.Takeda+PASJ57652005	0.11	0.11	
HD34411	J.Simmerer+ApJ61710912004		-0.14	
HD34411	Y.Takeda+PASJ57452005	0.11	0.14	
HD34411	T.V.Mishenina+AAP552A1282013	0.1	0.1	-0.03
HD34411	K.A.Venn+AJ12811772004		-0.03	0.11
HD34411	Y.Takeda+PASJ593352007	0.11	0.11	-0.04
HD34411A	Y.Q.Chen+1414912000	0.01	0.01	0.13
HD344779	B.E.Reddy+MNRAS36713292006	-0.29	-0.34	0.24
HD3454	Y.Q.Chen+1414912000	-0.59	-0.59	0.13
HD3454	K.A.Venn+AJ12811772004		-0.58	0.09
HD345957	A.M.Boesgaard+ApJ7431402011	-1.46	-1.46	0.47
HD345957	R.G.Gratton+AAP3541692000	-1.4	-1.44	
HD345957	R.G.Gratton+AAP4041872003	-1.42	-1.47	0.33
HD345957	A.M.Boesgaard+AJ1174921999	-1.41	-1.24	
HD345957	J.A.Rich+ApJ70115192009	-1.53	-1.53	
HD345957	T.V.Mishenina+AAP3961892002		-1.33	
HD345957	G.Bihain+AAP4237772004	-1.5	-1.33	
HD345957	K.A.Venn+AJ12811772004		-1.5	0.39
HD345957	T.V.Mishenina+AAP3709512001	-1.33	-1.33	0.06
HD345957	I.U.Roederer+AJ1471362014	-1.42	-1.73	0.37
HD345957	J.P.Fulbright+AJ12018412000	-1.4	-1.48	0.37
HD345957	C.Charbonnel+AAP4429612005	-1.54	-1.54	
HD35296	Y.Takeda+PASJ57652005	0.05	0.05	
HD35296	Y.Takeda+PASJ57452005	0.05	0.47	
HD35296	Y.Takeda+PASJ593352007	0.05	0.05	-0.16
HD35296A	Y.Q.Chen+1414912000	-0.14	-0.14	-0.12
HD3532	K.A.Venn+AJ12811772004		-0.35	0.09
HD3546	A.Alves-Brito+AAP513A352010	-0.62	-0.62	0.16
HD3546	T.V.Mishenina+AAP3961892002	-0.63	-0.63	
HD3546	T.V.Mishenina+AAP3709512001	-0.63	-0.63	0.16
HD36066	K.A.Venn+AJ12811772004		-0.01	0.09
HD36130	B.E.Reddy+MNRAS36713292006	0.1	0.05	0.06
HD3628	J.P.Fulbright+AJ12018412000	-0.1	-0.15	0.19
HD3628	T.Bensby+AAP562A712014	-0.1	-0.15	0.05
HD3628	R.G.Gratton+AAP4041872003	-0.17	-0.22	0.21
HD3628	B.E.Reddy+MNRAS36713292006	-0.23	-0.28	0.14
HD3628	K.A.Venn+AJ12811772004		-0.11	0.12
HD3628	T.Bensby+AAP4331852005		-0.11	0.12
HD36283	R.G.Gratton+AAP4041872003	-0.34	-0.41	0.28
HD36283	B.E.Reddy+MNRAS36713292006	-0.35	-0.4	0.28
HD36283	T.Gehren+AAP45110652006	-0.41	-0.4	0.24
HD3651	T.V.Mishenina+AAP552A1282013	0.15	0.15	-0.04
HD3651	T.V.Mishenina+AAP547A1062012	0.15	0.15	
HD36667	K.A.Venn+AJ12811772004		-0.45	0.12
HD36909	K.A.Venn+AJ12811772004		-0.22	-0.08
HD37008	T.V.Mishenina+AAP552A1282013	-0.41	-0.41	0.14
HD37008	T.V.Mishenina+AAP547A1062012	-0.41	-0.41	
HD37394	T.V.Mishenina+AAP552A1282013	0.09	0.09	-0.06
HD37394	T.V.Mishenina+AAP547A1062012	0.09	0.09	
HD3765	T.V.Mishenina+AAP552A1282013	0.01	0.01	0
HD37739	B.E.Reddy+MNRAS36713292006	-0.34	-0.39	0.22
HD37763	A.Alves-Brito+AAP513A352010	0.34	0.34	0.14
HD37792	J.P.Fulbright+AJ12018412000	-0.5	-0.58	0.07
HD37792	K.A.Venn+AJ12811772004		-0.6	0.09
HD3795	M.Takada-Hidai+ApJ5736142002	-0.75	-0.94	
HD3795	B.E.Reddy+MNRAS36713292006	-0.65	-0.7	0.39
HD3795	G.Bihain+AAP4237772004	-0.7	-0.53	
HD38007	J.Simmerer+ApJ61710912004		-0.4	
HD38007	K.A.Venn+AJ12811772004		-0.35	0.08
HD38510	B.E.Reddy+MNRAS36713292006	-0.81	-0.86	0.32
HD38529	Y.Takeda+PASJ57652005	0.31	0.31	
HD38529	Y.Takeda+PASJ57452005	0.31	0.7	
HD38529	Y.Takeda+PASJ593352007	0.31	0.31	-0.15
HD38858	T.V.Mishenina+AAP552A1282013	-0.23	-0.23	0.09
HD3894	K.A.Venn+AJ12811772004		-0.38	0.07
HD39364	J.P.Fulbright+AJ12018412000	-0.8	-0.92	0.42
HD39364	J.P.Fulbright+ApJ59511542003	-0.9	-0.8	
HD39364	K.A.Venn+AJ12811772004		-0.94	0.44
HD39587	Y.Takeda+PASJ57652005	-0.02	-0.02	
HD39587	Y.Takeda+PASJ57452005	-0.02	0.05	
HD39587	T.V.Mishenina+AAP552A1282013	-0.03	-0.03	0.05
HD39587	Y.Q.Chen+1414912000	-0.18	-0.18	-0.11
HD39587	Y.Takeda+PASJ593352007	-0.02	-0.02	0
HD39833	Y.Q.Chen+1414912000	0.04	0.04	0.02
HD39861	B.E.Reddy+MNRAS36713292006	-0.68	-0.73	0.35
HD400	Y.Takeda+PASJ57652005	-0.24	-0.24	
HD400	Y.Takeda+PASJ57452005	-0.24	-0.82	
HD400	Y.Q.Chen+1414912000	-0.23	-0.23	0.03
HD400	Y.Takeda+PASJ593352007	-0.24	-0.24	0.11
HD40057	J.P.Fulbright+AJ12018412000	-0.5	-0.6	0
HD40057	R.G.Gratton+AAP4041872003	-0.52	-0.58	-0.04
HD40057	K.A.Venn+AJ12811772004		-0.62	0.02
HD40409	A.Alves-Brito+AAP513A352010	0.19	0.19	-0.05
HD40616	T.V.Mishenina+AAP552A1282013	-0.22	-0.22	0.03
HD41330	T.V.Mishenina+AAP552A1282013	-0.18	-0.18	0.02
HD4156	B.E.Reddy+MNRAS36713292006	-0.5	-0.55	0.31
HD41593	T.V.Mishenina+AAP552A1282013	-0.04	-0.04	-0.1
HD41640	Y.Q.Chen+1414912000	-0.62	-0.62	0.11
HD41640	K.A.Venn+AJ12811772004		-0.56	0.08
HD41667	A.Alves-Brito+AAP513A352010	-1.02	-1.02	0.17
HD41667	R.G.Gratton+AAP3541692000	-1.16	-1.21	
HD4256	T.V.Mishenina+AAP552A1282013	0.08	0.08	0.06
HD4256	T.V.Mishenina+AAP547A1062012	0.08	0.08	
HD42618	T.V.Mishenina+AAP552A1282013	-0.07	-0.07	0.05
HD42618	K.A.Venn+AJ12811772004		-0.16	-0.09
HD42618	T.V.Mishenina+AAP547A1062012	-0.07	-0.07	
HD42807	T.V.Mishenina+AAP552A1282013	-0.03	-0.03	0.01
HD42807	T.V.Mishenina+AAP547A1062012	-0.03	-0.03	
HD43042	Y.Takeda+PASJ57652005	0.12	0.12	
HD43042	Y.Takeda+PASJ57452005	0.12	0.93	
HD43042	Y.Takeda+PASJ593352007	0.12	0.12	-0.35
HD4306	A.McWilliam+AJ10927571995	-3	-2.7	0.36
HD4306	S.Honda+ApJ730772011	-2.89	-2.86	0.43
HD4306	A.McWilliam+AJ10927361995			
HD4306	T.V.Mishenina+AAP3961892002	-2.52	-2.52	
HD4306	D.L.Burris+ApJ5443022000	-3	-2.37	
HD4306	K.A.Venn+AJ12811772004		-2.92	0.74
HD4306	T.V.Mishenina+AAP3709512001	-2.52	-2.52	0.25
HD4306	Y.Ishimaru+ApJ600L472004	-3	-2.76	
HD4306	J.P.Fulbright+AJ12018412000	-2.8	-2.9	0.72
HD4306	S.Honda+ApJS1521132004			
HD4306	A.E.GarciaPerez+AAP4516212006	-2.35	-2.33	
HD4306	S.Honda+ApJ6074742004	-2.89	-2.88	0.53
HD4306	A.E.GarciaPerez+AAP4472992006	-2.33	-2.33	
HD4307	Y.Takeda+PASJ57652005	-0.29	-0.29	
HD4307	Y.Takeda+PASJ57452005	-0.29	-0.47	
HD4307	T.V.Mishenina+AAP552A1282013	-0.18	-0.18	0.04
HD4307	Y.Takeda+PASJ593352007	-0.29	-0.29	0
HD43318	Y.Takeda+PASJ57652005	-0.19	-0.19	
HD43318	Y.Takeda+PASJ57452005	-0.19	-0.19	
HD43318	Y.Takeda+PASJ593352007	-0.19	-0.19	-0.05
HD43587	T.V.Mishenina+AAP552A1282013	-0.11	-0.11	0.06
HD43856	T.V.Mishenina+AAP552A1282013	-0.19	-0.19	0.05
HD43947	T.V.Mishenina+AAP552A1282013	-0.24	-0.24	0.1
HD43947	Y.Q.Chen+1414912000	-0.33	-0.33	0.1
HD43947	K.A.Venn+AJ12811772004		-0.3	0.09
HD45067	T.V.Mishenina+AAP552A1282013	-0.02	-0.02	0.02
HD45067	K.A.Venn+AJ12811772004		-0.12	0.05
HD45088	T.V.Mishenina+AAP552A1282013	-0.21	-0.21	0.12
HD45088	T.V.Mishenina+AAP547A1062012	-0.21	-0.21	
HD45205	J.P.Fulbright+AJ12018412000	-0.8	-0.87	0.29
HD45205	R.G.Gratton+AAP4041872003	-0.87	-0.92	0.19
HD45205	B.E.Reddy+MNRAS36713292006	-0.87	-0.92	0.33
HD45205	K.A.Venn+AJ12811772004		-0.89	0.31
HD45282	R.G.Gratton+AAP3541692000	-1.37	-1.4	
HD45282	J.R.Shi+AAP4655872007	-1.52	-1.51	
HD45282	J.P.Fulbright+ApJ59511542003	-1.5	-1.31	
HD45282	Y.Saito+PASJ615492009	-1.29	-1.46	
HD45282	T.V.Mishenina+AAP3961892002	-1.31	-1.31	
HD45282	K.A.Venn+AJ12811772004		-1.5	0.23
HD45282	T.V.Mishenina+AAP3709512001	-1.28	-1.28	-0.02
HD45282	I.U.Roederer+AJ1471362014	-1.73	-1.59	0.24
HD45282	J.P.Fulbright+AJ12018412000	-1.4	-1.48	0.21
HD45282	B.W.Carney+AJ1252932003	-1.8	-1.8	
HD45282	A.E.GarciaPerez+AAP4516212006	-1.53	-1.52	
HD45282	A.E.GarciaPerez+AAP4472992006	-1.52	-1.52	
HD45415	A.Alves-Brito+AAP513A352010	-0.04	-0.04	0.04
HD4614	M.Takada-Hidai+ApJ5736142002	-0.3	-0.37	
HD4614	Y.Takeda+PASJ57652005	-0.21	-0.21	
HD4614	Y.Takeda+PASJ57452005	-0.21	-0.23	
HD4614	T.V.Mishenina+AAP552A1282013	-0.24	-0.24	0.08
HD4614	Y.Takeda+PASJ593352007	-0.21	-0.21	-0.08
HD4628	Y.Takeda+PASJ57652005	-0.24	-0.24	
HD4628	Y.Takeda+PASJ57452005	-0.24	0.22	
HD4628	T.V.Mishenina+AAP552A1282013	-0.36	-0.36	0.19
HD4628	Y.Takeda+PASJ593352007	-0.24	-0.24	0.15
HD4628	T.V.Mishenina+AAP547A1062012	-0.21	-0.21	
HD46317	Y.Q.Chen+1414912000	-0.24	-0.24	0.06
HD46341	J.P.Fulbright+AJ12018412000	-0.7	-0.78	0.17
HD46341	R.G.Gratton+AAP4041872003	-0.6	-0.65	0.08
HD46341	B.E.Reddy+MNRAS36713292006	-0.59	-0.64	0.11
HD46341	R.Smiljanic+AAP4991032009	-0.7	-0.7	
HD46341	T.Gehren+AAP45110652006	-0.58	-0.57	0.19
HD46341	K.A.Venn+AJ12811772004		-0.8	0.19
HD4635	T.V.Mishenina+AAP552A1282013	0.07	0.07	-0.04
HD4635	T.V.Mishenina+AAP547A1062012	0.07	0.07	
HD46480	T.V.Mishenina+AAP3961892002	-0.49	-0.49	
HD46480	T.V.Mishenina+AAP3709512001	-0.49	-0.49	0.24
HD47752	T.V.Mishenina+AAP552A1282013	-0.05	-0.05	-0.11
HD47752	T.V.Mishenina+AAP547A1062012	-0.05	-0.05	
HD4813	Y.Takeda+PASJ57652005	-0.05	-0.05	
HD4813	Y.Takeda+PASJ57452005	-0.05	-0.04	
HD4813	Y.Takeda+PASJ593352007	-0.05	-0.05	-0.11
HD48682	T.V.Mishenina+AAP552A1282013	0.05	0.05	0.01
HD48682	T.V.Mishenina+AAP547A1062012	0.05	0.05	
HD49301	K.Jonsell+AAP4403212005	-0.82	-0.99	0.35
HD49732	Y.Q.Chen+1414912000	-0.7	-0.7	0.08
HD49933	M.Takada-Hidai+ApJ5736142002	-0.45	-0.61	
HD49933	Y.Takeda+PASJ57652005	-0.49	-0.49	
HD49933	J.Simmerer+ApJ61710912004		-0.49	
HD49933	Y.Takeda+PASJ57452005	-0.49	0.1	
HD49933	K.A.Venn+AJ12811772004		-0.43	
HD49933	Y.Takeda+PASJ593352007	-0.49	-0.49	0.37
HD5015	Y.Takeda+PASJ57652005	0.13	0.13	
HD5015	Y.Takeda+PASJ57452005	0.13	0.36	
HD5015	Y.Takeda+PASJ593352007	0.13	0.13	-0.08
HD50281	T.V.Mishenina+AAP552A1282013	-0.2	-0.2	-0.04
HD5065	K.A.Venn+AJ12811772004		-0.18	0.04
HD50692	T.V.Mishenina+AAP552A1282013	-0.1	-0.1	0.05
HD50692	T.V.Mishenina+AAP547A1062012	-0.1	-0.1	
HD50778	A.Alves-Brito+AAP513A352010	-0.33	-0.33	0.14
HD51219	B.E.Reddy+MNRAS36713292006	-0.05	-0.1	0.06
HD51419	T.V.Mishenina+AAP552A1282013	-0.37	-0.37	0.13
HD51530	J.Simmerer+ApJ61710912004		-0.61	
HD51530	T.V.Mishenina+AAP3961892002	-0.39	-0.39	
HD51530	K.A.Venn+AJ12811772004		-0.56	0.22
HD51530	T.V.Mishenina+AAP3709512001	-0.39	-0.39	-0.06
HD51754	P.E.Nissen+AAP511L102010	-0.58	-0.58	0.31
HD51754	J.P.Fulbright+AJ12018412000	-0.5	-0.72	0.43
HD51754	T.Bensby+AAP562A712014	-0.62	-0.67	0.34
HD51754	R.G.Gratton+AAP4041872003	-0.56	-0.61	0.35
HD51754	R.Smiljanic+AAP4991032009	-0.5	-0.5	
HD51754	H.L.Yan+AAP5851022016	-0.58	-0.58	
HD51754	K.A.Venn+AJ12811772004		-0.74	0.45
HD51754	P. E. Nissen+AAP530A152011	-0.58	-0.58	
HD51866	T.V.Mishenina+AAP552A1282013		0	0.06
HD51866	T.V.Mishenina+AAP547A1062012		0	
HD51929	K.A.Venn+AJ12811772004		-0.64	0.3
HD5223	A.Goswami+MNRAS3723432006	-2.06	-2.11	0.56
HD52265	Y.Takeda+PASJ57652005	0.19	0.19	
HD52265	Y.Takeda+PASJ57452005	0.19	0.21	
HD52265	Y.Takeda+PASJ593352007	0.19	0.19	0.05
HD5256	B.E.Reddy+MNRAS36713292006	-0.62	-0.67	0.25
HD5268	A.Alves-Brito+AAP513A352010	-0.5	-0.5	0.07
HD52711	Y.Takeda+PASJ57652005	-0.11	-0.11	
HD52711	Y.Takeda+PASJ57452005	-0.11	-0.13	
HD52711	K.A.Venn+AJ12811772004		-0.2	0.04
HD52711	Y.Takeda+PASJ593352007	-0.11	-0.11	-0.01
HD5294	T.V.Mishenina+AAP552A1282013	-0.17	-0.17	0.06
HD5351	T.V.Mishenina+AAP552A1282013	-0.21	-0.21	0.07
HD53545	J.P.Fulbright+AJ12018412000	-0.3	-0.38	0.06
HD53545	R.G.Gratton+AAP4041872003	-0.25	-0.3	-0.02
HD53545	K.A.Venn+AJ12811772004		-0.4	0.08
HD53871	J.P.Fulbright+AJ12018412000	-0.3	-0.44	0.05
HD53871	R.G.Gratton+AAP4041872003	-0.31	-0.36	-0.04
HD53871	K.A.Venn+AJ12811772004		-0.46	0.07
HD53927	T.V.Mishenina+AAP552A1282013	-0.22	-0.22	-0.04
HD53927	T.V.Mishenina+AAP547A1062012	-0.22	-0.22	
HD5395	T.V.Mishenina+AAP3961892002	-0.19	-0.19	
HD5395	T.V.Mishenina+AAP3709512001	-0.19	-0.19	-0.06
HD54182	K.A.Venn+AJ12811772004		-0.24	0.05
HD5424	T.Masseron+AAP509A932010	-0.21	-0.26	0.32
HD5426	A.McWilliam+AJ10927571995	-2.5	-2.24	0.37
HD5426	M.N.Ishigaki+ApJ753642012	-2.19	-2.19	0.33
HD5426	M.N.Ishigaki+ApJ771672013	-2.18	-2.18	
HD5426	A.McWilliam+AJ10927361995			
HD5426	B.W.Carney+AJ1252932003	-2.33	-2.33	
HD54351	B.E.Reddy+MNRAS36713292006	-0.15	-0.2	0.03
HD54371	T.V.Mishenina+AAP552A1282013	0.06	0.06	0.05
HD54371	T.V.Mishenina+AAP547A1062012	0.06	0.06	
HD54717	Y.Q.Chen+1414912000	-0.44	-0.44	0.05
HD5494	K.A.Venn+AJ12811772004		-0.17	-0.09
HD55575	Y.Takeda+PASJ57652005	-0.33	-0.33	
HD55575	Y.Takeda+PASJ57452005	-0.33	-0.28	
HD55575	T.V.Mishenina+AAP552A1282013	-0.31	-0.31	0.19
HD55575	Y.Q.Chen+1414912000	-0.36	-0.36	0.11
HD55575	Y.Takeda+PASJ593352007	-0.33	-0.33	0.13
HD56451	B.E.Reddy+MNRAS36713292006	-0.3	-0.35	0.16
HD56513	T.Gehren+AAP45110652006	-0.45	-0.44	0
HD5750	Y.Q.Chen+1414912000	-0.44	-0.44	0.23
HD5750	K.A.Venn+AJ12811772004		-0.39	-0.01
HD58551	T.Gehren+AAP45110652006	-0.53	-0.52	0.09
HD58551	Y.Q.Chen+1414912000	-0.54	-0.54	
HD58595	T.V.Mishenina+AAP552A1282013	-0.31	-0.31	0.05
HD58855	Y.Q.Chen+1414912000	-0.31	-0.31	0.01
HD5916	T.V.Mishenina+AAP3961892002	-0.51	-0.51	
HD5916	T.V.Mishenina+AAP3709512001	-0.51	-0.51	0.03
HD59360	K.A.Venn+AJ12811772004		-0.21	0.04
HD59374	K.Jonsell+AAP4403212005	-0.93	-0.88	0.37
HD59374	J.P.Fulbright+AJ12018412000	-0.8	-0.91	0.31
HD59374	T.Bensby+AAP562A712014	-0.95	-1	0.42
HD59374	R.G.Gratton+AAP4041872003	-0.84	-0.89	0.27
HD59374	R.Smiljanic+AAP4991032009	-0.8	-0.8	
HD59374	T.Gehren+AAP45110652006	-0.83	-0.82	0.2
HD59374	K.A.Venn+AJ12811772004		-0.93	0.33
HD59380	Y.Q.Chen+1414912000	-0.17	-0.17	0
HD59392	P.E.Nissen+AAP511L102010	-1.6	-1.6	0.26
HD59392	M.Asplund+ApJ6442292006	-1.61	-1.61	
HD59392	P. E. Nissen+AAP530A152011	-1.6	-1.6	
HD59747	T.V.Mishenina+AAP552A1282013	-0.04	-0.04	0.03
HD59747	T.V.Mishenina+AAP547A1062012	-0.04	-0.04	
HD59984	Y.Takeda+PASJ57652005	-0.65	-0.65	
HD59984	Y.Saito+PASJ615492009	-0.87	-0.96	
HD59984	Y.Takeda+PASJ57452005	-0.65	-1.16	
HD59984	K.A.Venn+AJ12811772004		-0.75	0.27
HD59984	Y.Takeda+PASJ593352007	-0.65	-0.65	0.22
HD59984	M.Takada-Hidai+ApJ5736142002	-0.85	-0.92	
HD59984	J.Simmerer+ApJ61710912004		-0.77	
HD59984	R.Smiljanic+AAP4991032009	-0.7	-0.7	
HD59984	T.Gehren+AAP45110652006	-0.74	-0.73	0.15
HD59984A	Y.Q.Chen+1414912000	-0.71	-0.71	0.19
HD60319	R.G.Gratton+AAP4041872003	-0.75	-0.81	0.17
HD60319	B.E.Reddy+MNRAS36713292006	-0.77	-0.82	0.26
HD60319	C.J.Hansen+AAP545A312012	-0.9	-0.89	
HD60319	K.A.Venn+AJ12811772004		-0.88	0.29
HD60319	J.P.Fulbright+AJ12018412000	-0.7	-0.86	0.27
HD60319	T.Bensby+AAP562A712014	-0.84	-0.89	0.29
HD60319	E.Caffau+AAP4415332005	-0.8	-0.8	
