# Object	Reference	Metallicity	[Fe/H]	[O/Fe]
BD10_2495	J.A.JohnsonApJ5548882001	-2	-1.91	
BD10_2495	B.W.CarneyAJ1252932003	-2.14	-2.14	
BD10_2495	J.A.JohnsonApJS1392192002	-2	-2.06	
BD11_4725	J.P.FulbrightAJ12018412000	-0.8	-0.95	
BD11_4725	R.G.GrattonAAP4041872003	-0.8	-0.85	
BD11_4725	B.E.ReddyMNRAS36713292006	-0.79	-0.84	0.77
BD11_4725	R.SmiljanicAAP4991032009	-0.8	-0.8	
BD11_4725	K.A.VennAJ12811772004		-0.97	
BD12_4499	T.V.MisheninaAAP552A1282013	0	0	0.21
BD12_4499	T.V.MisheninaAAP547A1062012	0.03	0.03	
BD12_853	R.G.GrattonAAP4041872003	-1.13	-1.18	0.67
BD12_853	I.U.RoedererApJ7249752010		-1.25	
BD12_853	E.CaffauAAP4415332005	-1.17	-1.17	
BD12_853	J.SimmererApJ61710912004	-1.25	-1.25	
BD13_2698	A.M.BoesgaardApJ7431402011	-0.6	-0.6	0.5
BD13_2698	M.N.IshigakiApJ753642012	-0.63	-0.63	
BD13_2698	K.A.VennAJ12811772004		-0.97	
BD13_2698	J.P.FulbrightAJ12018412000	-0.8	-0.95	
BD13_2698	M.N.IshigakiApJ771672013	-0.62	-0.62	
BD13_2698	I.U.RoedererApJ7249752010		-0.9	
BD13_2698	J.SimmererApJ61710912004	-0.9	-0.9	
BD13_2698	R.SmiljanicAAP4991032009	-0.8	-0.8	
BD13_2698	T.GehrenAAP45110652006	-0.95	-0.94	
BD13_3683	A.M.BoesgaardApJ7431402011	-2.38	-2.38	0.86
BD13_3683	E.CaffauAAP4415332005	-2.43	-2.43	
BD13_3683	B.W.CarneyAJ1252932003	-1.9	-1.9	
BD14_3384	B.E.ReddyMNRAS36713292006	-0.76	-0.81	0.82
BD17_1524	R.G.GrattonAAP4041872003	-0.41	-0.45	0.45
BD17_3248	M.SpiteAAP4306552005	-2.07	-2.07	0.83
BD17_3248	S.M.AndrievskyAAP509A882010	-2.07	-2.07	
BD17_3248	P.FrancoisAAP4769352007	-2	-2.07	
BD17_3248	I.U.RoedererApJ747L82012	-2.08	-2.08	
BD17_3248	J.A.JohnsonApJ5796162002		-1.93	
BD17_3248	J.A.JohnsonApJ5548882001	-1.95	-1.94	
BD17_3248	J.A.JohnsonApJS1392192002	-1.95	-2.09	
BD17_3248	S.M.AndrievskyAAP4814812008	-2.07	-2.07	
BD17_3248	S.M.AndrievskyAAP49410832009	-2.07	-2.07	
BD17_3248	R.CayrelAAP41611172004	-2.07	-2.04	0.74
BD17_3248	J.P.FulbrightApJ59511542003	-2	-2.01	0.53
BD17_3248	M.SpiteAAP541A1432012	-2.07	-2.07	
BD17_3248	D.L.BurrisApJ5443022000	-1.8	-1.85	
BD17_3248	J.J.CowanApJ5728612002	-2	-2.06	0.67
BD17_3248	S.M.AndrievskyAAP46410812007	-2.07	-2.07	
BD17_3248	M.SpiteAAP4552912006	-2.07	-2.07	
BD17_3248	I.U.RoedererApJ69819632009	-2.08	-2.08	
BD17_3248	M.SpiteAAP528A92011	-2.07	-2.07	
BD17_3248	J.J.CowanApJ6272382005	-2.08	-2.11	
BD17_4708	P.E.NissenAAP4693192007	-1.55	-1.55	
BD17_4708	J.A.RichApJ70115192009	-1.81	-1.81	0.68
BD17_4708	C.J.AkermanAAP4149312004	-1.64	-1.64	0.93
BD17_4708	T.V.MisheninaAAP3709512001	-1.56	-1.56	
BD17_4708	I.U.RoedererApJ7249752010		-1.59	
BD17_4708	R.SmiljanicAAP4991032009	-1.5	-1.5	
BD17_4708	J.MelendezAAP515L32010	-1.59	-1.59	
BD17_4708	P.E.NissenAAP4159932004	-1.64	-1.64	
BD17_4708	S.G.RyanApJ549552001	-1.86	-1.86	
BD17_4708	A.M.BoesgaardApJ7431402011	-1.7	-1.7	0.55
BD17_4708	R.G.GrattonAAP4041872003	-1.58	-1.63	0.78
BD17_4708	J.MelendezApJ64210822006	-1.4	-1.64	0.9
BD17_4708	A.M.BoesgaardAJ1174921999	-1.73	-1.56	0.85
BD17_4708	T.V.MisheninaAAP3961892002	-1.56	-1.56	
BD17_4708	K.A.VennAJ12811772004		-1.63	
BD17_4708	P.E.NissenAAP3902352002	-1.58	-1.55	0.78
