# Object	Reference	Metallicity	[Fe/H]	[Si/Fe]
b6f089	C.R.daSilveira+AAP614A1492018	0.06	0.06	0.07
b6f090	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.06
b6f091	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.22
b6f092	C.R.daSilveira+AAP614A1492018	-0.41	-0.41	0.29
b6f093	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.09
b6f095	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.09
b6f096	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.13
b6f098	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.04
b6f099	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.14
b6f100	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.05
b6f101	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.23
b6f102	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.21
b6f103	C.R.daSilveira+AAP614A1492018	0	0	0.14
b6f104	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.05
b6f105	C.R.daSilveira+AAP614A1492018	0.17	0.17	-0.16
b6f106	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.04
b6f107	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.1
b6f108	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.14
b6f109	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.27
b6f110	C.R.daSilveira+AAP614A1492018	0.23	0.23	-0.04
b6f111	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.33
b6f112	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.07
b6f113	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.05
b6f114	C.R.daSilveira+AAP614A1492018	-0.29	-0.29	0.12
b6f117	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.05
b6f118	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.27
b6f119	C.R.daSilveira+AAP614A1492018	0.27	0.27	0
b6f120	C.R.daSilveira+AAP614A1492018	-0.85	-0.85	0.42
b6f121	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.06
b6f123	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.02
b6f124	C.R.daSilveira+AAP614A1492018	0.31	0.31	-0.01
b6f128	C.R.daSilveira+AAP614A1492018	0.27	0.27	-0.05
b6f129	C.R.daSilveira+AAP614A1492018	-0.31	-0.31	0.18
b6f130	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.13
b6f131	C.R.daSilveira+AAP614A1492018	0.22	0.22	-0.06
b6f134	C.R.daSilveira+AAP614A1492018	-0.36	-0.36	0.19
b6f135	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.07
BD+00_2627	B.E.Reddy+MNRAS36713292006	-0.53	-0.58	0.45
BD+00_549	B.E.Reddy+MNRAS36713292006	-0.82	-0.87	0.41
BD+01_2063	T.V.Mishenina+AAP552A1282013	-0.22	-0.22	0.19
BD+01_306	J.P.Fulbright+AJ12018412000	-0.8	-0.96	0.36
BD+01_3070	L.Zhang+ApJ70610952009	-1.52	-1.35	0.23
BD+01_3070	M.N.Ishigaki+ApJ753642012	-1.38	-1.38	0.14
BD+01_3070	M.Ishigaki+PASJ621432010	-1.63	-1.63	0.29
