# Object	Reference	Metallicity	[O/H]	[C/H]
BD+70_950	B.E.Reddy+MNRAS36713292006	-0.4	0.26	0.03
BD+73_943	B.E.Reddy+MNRAS36713292006	-0.5	0.14	0.01
BD+77_876	B.E.Reddy+MNRAS36713292006	-0.42	0.06	-0.09
BD+79_22	B.E.Reddy+MNRAS36713292006	-0.87	-0.34	-0.53
BD+80_245	I.U.Roederer+AJ1471362014	-2.01	-1.84	-1.82
BD+80_245	J.P.Fulbright+AJ12018412000	-1.9		
BD+80_245	I.I.Ivans+ApJ5929062003	-2.07		
BD+80_245	K.A.Venn+AJ12811772004			
BD-04_2862	B.E.Reddy+MNRAS36713292006	-0.57	0.04	-0.08
BD-04_3208	P.E.Nissen+AAP4693192007	-2.29		
BD-04_3208	C.J.Hansen+AAP545A312012	-2.27		
BD-04_3208	J.A.Rich+ApJ70115192009	-2.35	-1.19	
BD-04_3208	C.J.Akerman+AAP4149312004	-2.27	-1.54	-1.96
BD-04_3208	K.F.Tan+MNRAS3922052009	-2.28	-1.46	
BD-04_3208	A.E.GarciaPerez+AAP5042132009	-2.28		
BD-04_3208	J.Melendez+AAP515L32010	-2.29		
BD-04_3208	P.E.Nissen+AAP4159932004	-2.27		
BD-04_3208	M.Bergemann+AAP4928232008	-2.23		
BD-04_3208	J.R.Shi+AAP4655872007	-2.23		
BD-04_3208	J.Melendez+ApJ64210822006	-2.1	-1.52	
BD-04_3208	A.M.Boesgaard+AJ1174921999	-2.31	-1.2	
BD-04_3208	K.A.Venn+AJ12811772004			
BD-04_3208	P.E.Nissen+AAP3902352002	-2.3	-1.55	
BD-04_3208	J.P.Fulbright+AJ12018412000	-2.5		
BD-04_3208	C.Charbonnel+AAP4429612005	-2.23		
BD-04_3208	D.Fabbian+AAP50011432009	-2.29	-1.5	-1.95
BD-04_3208	M.Asplund+ApJ6442292006	-2.3	-1.66	
BD-133442	D.Fabbian+AAP50011432009	-2.69	-1.8	-2.29
BD-15_5781	I.U.Roederer+AJ1471362014	-2.87	-2.35	-3.26
BD-15_5781	B.W.Carney+AJ1252932003	-2.47		
BD-15_5781	D.L.Burris+ApJ5443022000	-3		
BD-18_0271	M.N.Ishigaki+ApJ753642012	-2.58		
BD-18_0271	M.N.Ishigaki+ApJ771672013	-2.58		
BD-18_0271	M.Ishigaki+PASJ621432010	-2.66		
BD-18_0271	B.W.Carney+AJ1252932003	-1.98		
BD-18_0271	J.Melendez+ApJ5754742002	-2.35	-1.61	-2.96
BD-18_5550	A.McWilliam+AJ10927571995			-2.78
BD-18_5550	J.A.Johnson+ApJ65812032007	-2.89		-2.96
BD-18_5550	M.Spite+AAP4306552005	-3.06	-2.5	-2.99
BD-18_5550	A.McWilliam+AJ10927361995			
BD-18_5550	S.M.Andrievsky+AAP509A882010	-3.06		
BD-18_5550	G.Bihain+AAP4237772004	-3.01		
