# Object	Reference	Metallicity	[Fe/H]	[N/Fe]
HD002665	D.L.Burris+ApJ5443022000	-3	-1.8	
HD002665	K.A.Venn+AJ12811772004		-1.96	
HD002665	J.P.Fulbright+AJ12018412000	-1.8	-1.94	
HD002665	I.U.Roederer+ApJ7249752010		-1.99	
HD002665	J.Simmerer+ApJ61710912004	-1.99	-1.99	
HD021581	R.G.Gratton+AAP3541692000	-1.57	-1.61	-0.06
HD021581	J.P.Fulbright+ApJ59511542003	-1.7	-1.61	
HD021581	Y.Saito+PASJ615492009	-1.73	-1.52	
HD021581	J.Melendez+ApJ5568582001	-1.68	-1.68	
HD021581	K.A.Venn+AJ12811772004		-1.74	
HD021581	H.Jonsson+AAP530A1442011	-1.64	-1.64	
HD021581	I.U.Roederer+AJ1471362014	-1.82	-1.7	-0.58
HD021581	J.P.Fulbright+AJ12018412000	-1.6	-1.72	
HD021581	I.U.Roederer+ApJ7249752010		-1.71	
HD021581	J.Simmerer+ApJ61710912004	-1.71	-1.71	
HD021581	B.W.Carney+AJ1252932003	-1.65	-1.65	
HD025329	M.Bergemann+AAP4928232008	-1.84	-1.84	
HD025329	R.G.Gratton+AAP3541692000	-1.69	-1.73	1.19
HD025329	R.G.Gratton+AAP4041872003	-1.76	-1.81	
HD025329	T.V.Mishenina+AAP3961892002	-1.73	-1.73	
HD025329	G.Bihain+AAP4237772004	-1.78	-1.61	
HD025329	J.Melendez+ApJ5568582001	-1.75	-1.75	
HD025329	K.A.Venn+AJ12811772004		-1.85	
HD025329	T.V.Mishenina+AAP3709512001	-1.73	-1.73	
HD025329	M.Bergemann+MNRAS40113342010	-1.84	-1.84	
HD025329	J.P.Fulbright+AJ12018412000	-1.7	-1.83	
HD025329	I.U.Roederer+ApJ7249752010		-1.67	
HD025329	J.Simmerer+ApJ61710912004	-1.67	-1.67	
HD026297	R.G.Gratton+AAP3541692000	-1.67	-1.73	
HD026297	J.P.Fulbright+ApJ59511542003	-1.7	-1.89	
HD026297	T.V.Mishenina+AAP3961892002	-1.91	-1.91	
HD026297	J.Melendez+ApJ5568582001	-1.75	-1.75	
HD026297	D.L.Burris+ApJ5443022000	-1.7	-1.7	
HD026297	K.A.Venn+AJ12811772004		-1.73	
HD026297	T.V.Mishenina+AAP3709512001	-1.91	-1.91	
HD026297	H.Jonsson+AAP530A1442011	-1.51	-1.51	
HD026297	I.U.Roederer+AJ1471362014	-1.72	-1.98	-0.03
HD026297	J.P.Fulbright+AJ12018412000	-1.6	-1.71	
HD026297	I.U.Roederer+ApJ7249752010		-1.98	
HD026297	J.Simmerer+ApJ61710912004	-1.98	-1.98	
HD074462	R.G.Gratton+AAP3541692000	-1.37	-1.41	0.34
HD074462	W.Aoki+PASJ60L72008	-1.4	-1.39	
HD074462	D.K.Lai+ApJ66711852007	-1.76	-1.59	
HD074462	J.P.Fulbright+ApJ59511542003	-1.6	-1.49	
HD074462	Y.Saito+PASJ615492009	-1.56	-1.5	
HD074462	C.J.Hansen+AAP545A312012	-1.48	-1.48	
HD074462	D.L.Burris+ApJ5443022000	-1.4	-1.39	
HD074462	I.U.Roederer+ApJ69819632009	-1.52	-1.52	
HD074462	I.U.Roederer+ApJ7249752010		-1.52	
HD074462	J.Simmerer+ApJ61710912004	-1.52	-1.52	
HD103095	R.G.Gratton+AAP3541692000	-1.18	-1.22	-0.21
HD103095	Y.Takeda+PASJ57452005	-1.29	-1.24	
HD103095	G.Bihain+AAP4237772004	-1.43	-1.26	
HD103095	T.V.Mishenina+AAP3709512001	-1.39	-1.39	
HD103095	M.Bergemann+MNRAS40113342010	-1.35	-1.35	
HD103095	I.U.Roederer+ApJ7249752010		-1.43	
HD103095	J.Melendez+ApJ659L252007	-1.35	-1.35	
HD103095	A.M.Boesgaard+ApJ6333982005	-1.34	-1.32	
HD103095	M.Bergemann+AAP4928232008	-1.35	-1.35	
HD103095	J.P.Fulbright+ApJ59511542003	-1.5	-1.43	
HD103095	R.G.Gratton+AAP4041872003	-1.28	-1.34	
HD103095	Y.Takeda+PASJ57652005	-1.29	-1.29	
HD103095	A.M.Boesgaard+AJ1174921999	-1.26	-1.09	
HD103095	T.V.Mishenina+AAP3961892002	-1.47	-1.47	
HD103095	K.A.Venn+AJ12811772004		-1.46	
HD103095	Y.Takeda+PASJ593352007	-1.29	-1.29	
HD103095	T.Mishenina+MNRAS46943782017		-1.35	
HD103095	A.Stephens+AJ12316472002	-1.34	-1.31	
HD103095	J.P.Fulbright+AJ12018412000	-1.3	-1.44	
HD103095	J.Simmerer+ApJ61710912004	-1.43	-1.43	
HD103095	T.Gehren+AAP45110652006	-1.35	-1.34	
HD105546	M.N.Ishigaki+ApJ753642012	-1.45	-1.45	
HD105546	J.P.Fulbright+AJ12018412000	-1.4	-1.47	
HD105546	R.G.Gratton+AAP3541692000	-1.47	-1.51	0.87
HD105546	M.N.Ishigaki+ApJ771672013	-1.44	-1.44	
HD105546	I.U.Roederer+ApJ7249752010		-1.48	
HD105546	Y.Saito+PASJ615492009	-1.27	-1.41	
HD105546	J.Simmerer+ApJ61710912004	-1.48	-1.48	
HD105546	D.L.Burris+ApJ5443022000	-1	-1.1	
HD105546	K.A.Venn+AJ12811772004		-1.49	
HD110885	R.G.Gratton+AAP3541692000	-1.45	-1.49	0.77
HD110885	J.P.Fulbright+ApJ59511542003	-1.6	-1.49	
HD110885	B.W.Carney+AJ1252932003	-1.59	-1.59	
HD111721	M.N.Ishigaki+ApJ753642012	-1.34	-1.34	
HD111721	R.G.Gratton+AAP3541692000	-1.27	-1.31	-0.11
HD111721	J.P.Fulbright+ApJ59511542003	-1.5	-1.31	
HD111721	M.Ishigaki+PASJ621432010	-1.34	-1.35	
HD111721	N.Ryde+AAP4155592004	-1.27	-1.27	
HD111721	K.A.Venn+AJ12811772004		-1.54	
HD111721	M.Takada-Hidai+ApJ5736142002	-1.35	-1.49	
HD111721	J.P.Fulbright+AJ12018412000	-1.4	-1.52	
HD111721	M.N.Ishigaki+ApJ771672013	-1.35	-1.35	
HD111721	B.W.Carney+AJ1252932003	-1.42	-1.42	
HD11582	I.U.Roederer+AJ1471362014	-2.03	-1.84	-0.69
HD118055	H.N.Li+ApJ765512013	-1.78	-1.61	
HD118055	J.P.Fulbright+AJ12018412000	-1.8	-1.89	
HD118055	R.G.Gratton+AAP3541692000	-1.75	-1.81	0.79
HD118055	J.P.Fulbright+ApJ59511542003	-1.9	-2.16	
HD118055	B.W.Carney+AJ1252932003	-1.46	-1.46	
HD118055	K.A.Venn+AJ12811772004		-1.91	
HD122563	D.K.Lai+ApJ66711852007	-2.54	-2.37	
HD122563	T.V.Mishenina+AAP3709512001	-2.42	-2.42	
HD122563	J.K.Hollek+ApJ742542011	-2.96	-2.96	
HD122563	J.A.Johnson+ApJ5796162002		-2.58	
HD122563	W.Aoki+ApJ6326112005	-2.5	-2.62	
HD122563	S.Honda+ApJS1521132004			
HD122563	S.M.Andrievsky+AAP4814812008	-2.82	-2.82	
HD122563	I.U.Roederer+ApJ6757232008	-2.83	-2.81	
HD122563	M.Spite+AAP541A1432012	-2.82	-2.82	
HD122563	I.U.Roederer+ApJS203272012	-2.61	-3.06	
HD122563	T.V.Mishenina+AAP3961892002		-2.66	
HD122563	D.L.Burris+ApJ5443022000	-3	-2.54	
HD122563	W.Aoki+ApJ6607472007	-2.6	-2.64	0.61
HD122563	I.U.Roederer+AJ1471362014	-2.93	-2.97	0.65
HD122563	M.Spite+AAP4552912006	-2.82	-2.82	0.79
HD122563	D.Prakapavicius+AAP5991282017	-2.6	-2.6	
HD122563	J.Simmerer+ApJ61710912004	-2.72	-2.72	
HD122563	J.J.Cowan+ApJ6272382005	-2.72	-2.75	
HD122563	J.A.Johnson+ApJ65812032007	-2.47	-2.45	1.2
HD122563	M.Spite+AAP4306552005	-2.82	-2.82	0.79
HD122563	C.J.Hansen+AAP545A312012	-2.81	-2.81	
HD122563	S.M.Andrievsky+AAP509A882010	-2.82	-2.82	
HD122563	L.Mashonkina+ApJ67915492008	-2.53	-2.53	
HD122563	M.Bergemann+MNRAS40113342010	-2.51	-2.51	
HD122563	I.U.Roederer+ApJ7249752010		-2.77	
HD122563	J.A.Johnson+ApJ5548882001	-2.65	-2.58	
HD122563	J.A.Johnson+ApJS1392192002	-2.65	-2.73	
HD122563	S.Honda+ApJ6074742004	-2.77	-2.76	
HD122563	J.E.Norris+ApJ4883501997		-2.51	1.05
HD122563	M.Bergemann+AAP4928232008	-2.51	-2.51	
HD122563	S.M.Andrievsky+AAP49410832009	-2.82	-2.82	
HD122563	R.Cayrel+AAP41611172004	-2.82	-2.78	
HD122563	J.P.Fulbright+ApJ59511542003	-2.8	-2.6	
HD122563	Y.Takeda+PASJ63S5372011	-2.61	-2.61	
HD122563	K.A.Venn+AJ12811772004		-2.79	
HD122563	C.M.Sakari+ApJ8681102018	-2.96	-2.96	
HD122563	J.Westin+ApJ5307832000	-2.7	-2.72	
HD122563	S.M.Andrievsky+AAP46410812007	-2.82	-2.82	
HD122563	J.P.Fulbright+AJ12018412000	-2.6	-2.77	
HD122563	I.U.Roederer+ApJ69819632009	-2.72	-2.72	
HD122563	S.Honda+ApJ64311802006	-2.77	-2.82	
HD122563	C.Sneden+ApJ4962351998	-2.71	-2.71	
HD122563	M.Spite+AAP528A92011	-2.82	-2.82	
HD122563	B.Barbuy+ApJ58810722003	-2.8	-2.77	
HD122563	S.Honda+ApJ66611892007	-2.77	-2.82	
HD122956	M.N.Ishigaki+ApJ753642012	-1.72	-1.72	
HD122956	R.G.Gratton+AAP3541692000	-1.64	-1.68	0.47
HD122956	C.J.Hansen+AAP545A312012	-1.45	-1.45	
HD122956	T.V.Mishenina+AAP3961892002		-1.6	
HD122956	D.L.Burris+ApJ5443022000	-1.7	-1.61	
HD122956	K.A.Venn+AJ12811772004		-1.83	
HD122956	T.V.Mishenina+AAP3709512001	-1.6	-1.6	
HD122956	I.U.Roederer+ApJ69819632009	-1.95	-1.95	
HD122956	J.P.Fulbright+AJ12018412000	-1.7	-1.81	
HD122956	M.N.Ishigaki+ApJ771672013	-1.7	-1.7	
HD122956	I.U.Roederer+ApJ7249752010		-1.95	
HD122956	B.W.Carney+AJ1252932003	-1.71	-1.71	
HD122956	J.Melendez+ApJ5754742002	-1.6	-1.6	
HD122956	J.Simmerer+ApJ61710912004	-1.95	-1.95	
HD122956	J.J.Cowan+ApJ6272382005	-1.95	-1.98	
HD126238	I.U.Roederer+AJ1471362014	-1.96	-2.05	-0.5
HD126238	R.G.Gratton+AAP3541692000	-1.51	-1.57	
HD126238	C.Sneden+ApJ4962351998	-1.67	-1.67	
HD126238	I.U.Roederer+ApJS203272012	-1.93	-1.98	
HD126238	C.J.Hansen+AAP545A312012	-1.92	-1.92	
HD132475	K.Jonsell+AAP4403212005	-1.53	-1.48	
HD132475	R.G.Gratton+AAP3541692000	-1.43	-1.48	
HD132475	C.J.Hansen+AAP545A312012	-1.52	-1.52	
HD132475	G.Bihain+AAP4237772004	-1.6	-1.43	
HD132475	K.F.Tan+MNRAS3922052009	-1.5	-1.49	
HD132475	I.U.Roederer+ApJ7249752010		-1.86	
HD132475	J.Melendez+AAP515L32010	-1.52	-1.52	
HD132475	A.M.Besgaard+ApJ64111222006	-1.5	-1.49	
HD132475	P.E.Nissen+AAP511L102010	-1.49	-1.49	
HD132475	A.M.Boesgaard+ApJ7431402011	-1.5	-1.5	
HD132475	R.G.Gratton+AAP4041872003	-1.62	-1.68	
HD132475	B.E.Reddy+MNRAS36713292006	-1.46	-1.51	
HD132475	N.Ryde+AAP4155592004	-1.38	-1.38	
HD132475	K.A.Venn+AJ12811772004		-1.59	
HD132475	P.E.Nissen+AAP3902352002	-1.45	-1.42	
HD132475	M.Takada-Hidai+ApJ5736142002	-1.5	-1.42	
HD132475	I.U.Roederer+AJ1471362014	-1.65	-1.82	-0.3
HD132475	J.P.Fulbright+AJ12018412000	-1.5	-1.57	
HD132475	T.Bensby+AAP562A712014	-1.51	-1.56	
HD132475	C.Charbonnel+AAP4429612005	-1.62	-1.62	
HD132475	E.Caffau+AAP4415332005	-1.67	-1.67	
HD132475	J.Simmerer+ApJ61710912004	-1.86	-1.86	
HD132475	H.L.Yan+AAP5851022016	-1.49	-1.49	
HD132475	P. E. Nissen+AAP530A152011	-1.49	-1.49	
HD134439	M.N.Ishigaki+ApJ753642012	-1.23	-1.23	
HD134439	R.G.Gratton+AAP3541692000	-1.26	-1.3	-0.06
HD134439	R.G.Gratton+AAP4041872003	-1.33	-1.39	
HD134439	M.Ishigaki+PASJ621432010	-1.21	-1.2	
HD134439	K.A.Venn+AJ12811772004		-1.57	
HD134439	L.Zhang+ApJ70610952009	-1.35	-1.18	
HD134439	J.P.Fulbright+AJ12018412000	-1.4	-1.55	
HD134439	D.Yong+ApJ59913572003	-1.51	-1.51	
HD134439	T.Bensby+AAP562A712014	-1.46	-1.51	
HD134439	M.N.Ishigaki+ApJ771672013	-1.24	-1.24	
HD134439	E.Caffau+AAP4415332005	-1.38	-1.38	
HD13826	S.VanEck+AAP4042912003		-2.4	
HD13826	T.C.Beers+AJ13311932007	-2.5	-2.55	1.5
HD13979	H.Jonsson+AAP530A1442011	-2.26	-2.26	
HD13979	A.McWilliam+AJ10927571995	-2.7	-2.48	
HD13979	I.U.Roederer+AJ1471362014	-2.72	-2.97	0.35
HD13979	A.McWilliam+AJ10927361995			
HD13979	D.L.Burris+ApJ5443022000	-3	-2.09	
HD13979	K.A.Venn+AJ12811772004		-2.26	
HD140283	A.Hosford+AAP4936012009	-2.54	-2.53	
HD140283	P.E.Nissen+AAP4693192007	-2.38	-2.38	
HD140283	C.SiqueiraMello+AAP548A422012	-2.5	-2.58	
HD140283	C.J.Akerman+AAP4149312004	-2.42	-2.42	
HD140283	T.V.Mishenina+AAP3709512001	-2.5	-2.41	
HD140283	K.F.Tan+MNRAS3922052009	-2.41	-2.4	
HD140283	S.Honda+ApJS1521132004			
HD140283	A.Hosford+AAP511A472010	-2.54		
HD140283	C.Siqueira-Mello+AAP584862015	-2.5	-2.59	1.06
HD140283	J.Melendez+AAP515L32010	-2.4	-2.4	
HD140283	A.J.Gallagher+AAP523A242010	-2.5		
HD140283	J.G.Cohen+AJ1244702002	-2.43		
HD140283	J.R.Shi+AAP4655872007	-2.42	-2.41	
HD140283	R.G.Gratton+AAP4041872003	-2.57	-2.62	
HD140283	H.Li+ApJ852L312018		-2.64	
HD140283	T.V.Mishenina+AAP3961892002		-2.41	
HD140283	A.Ford+AAP3936172002	-2.37	-2.37	
HD140283	C.Charbonnel+AAP4429612005	-2.48	-2.48	
HD140283	W.Aoki+PASJ544272002	-2.58	-2.58	
HD140283	D.Fabbian+AAP50011432009	-2.38	-2.43	
HD140283	M.Asplund+ApJ6442292006	-2.4	-2.4	
HD140283	K.Jonsell+AAP4403212005	-2.26	-2.26	
HD140283	G.Israelian+ApJ 557L432001	-2.21	-2.21	
HD140283	M.Bergemann+AAP522A92010	-2.38	-2.38	
HD140283	C.J.Hansen+AAP545A312012	-2.58	-2.58	
HD140283	J.A.Rich+ApJ70115192009	-2.56	-2.56	
HD140283	G.Bihain+AAP4237772004	-2.47	-2.3	
HD140283	M.Bergemann+MNRAS40113342010	-2.38	-2.38	
HD140283	S.Honda+ApJ6074742004	-2.53	-2.52	
HD140283	P.E.Nissen+AAP4159932004	-2.42	-2.42	
HD140283	M.Bergemann+AAP4928232008	-2.38	-2.38	
HD140283	A.M.Boesgaard+ApJ7431402011	-2.56	-2.56	
HD140283	J.Melendez+ApJ64210822006	-2.2	-2.38	
HD140283	A.M.Boesgaard+AJ1174921999	-2.46	-2.29	
HD140283	Y.Takeda+PASJ63S5372011	-2.55	-2.55	
HD140283	E.Carretta+AJ1244812002	-2.44	-2.42	
HD140283	K.A.Venn+AJ12811772004		-2.51	
HD140283	P.E.Nissen+AAP3902352002	-2.42	-2.39	
HD140283	J.P.Fulbright+AJ12018412000	-2.4	-2.49	
HD140283	T.Bensby+AAP562A712014	-2.62	-2.67	
HD140283	E.Caffau+AAP4415332005			
HD141531	D.Yong+ApJ59913572003	-1.64	-1.64	
HD141531	R.G.Gratton+AAP3541692000	-1.63	-1.67	0.44
HD141531	W.Aoki+PASJ60L72008	-1.7	-1.66	
HD141531	I.U.Roederer+ApJ7249752010		-1.79	
HD141531	B.W.Carney+AJ1252932003	-1.57	-1.57	
HD141531	J.Simmerer+ApJ61710912004	-1.79	-1.79	
HD160617	K.Jonsell+AAP4403212005	-1.77	-1.72	
HD160617	P.E.Nissen+AAP4693192007	-1.75	-1.75	
HD160617	J.A.Johnson+ApJ65812032007	-1.69	-1.67	0.6
HD160617	R.G.Gratton+AAP3541692000	-1.76	-1.81	
HD160617	J.Melendez+ApJ64210822006	-1.6	-1.8	
HD160617	C.J.Hansen+AAP545A312012	-1.83	-1.83	
HD160617	C.J.Akerman+AAP4149312004	-1.79	-1.79	
HD160617	P.E.Nissen+AAP3902352002	-1.79	-1.76	
HD160617	K.F.Tan+MNRAS3922052009	-1.78	-1.77	
HD160617	D.Fabbian+AAP50011432009	-1.75	-1.8	
HD160617	M.Asplund+ApJ6442292006	-1.76	-1.76	
HD160617	J.Melendez+AAP515L32010	-1.78	-1.78	
HD160617	P.E.Nissen+AAP4159932004	-1.79	-1.79	
HD175305	R.G.Gratton+AAP3541692000	-1.31	-1.35	0.04
HD175305	M.Ishigaki+PASJ621432010	-1.45	-1.46	
HD175305	C.J.Hansen+AAP545A312012	-1.38	-1.38	
HD175305	T.V.Mishenina+AAP3709512001	-1.42	-1.42	
HD175305	L.Zhang+ApJ70610952009	-1.35	-1.18	
HD175305	I.U.Roederer+ApJ6757232008	-1.6	-1.58	
HD175305	M.N.Ishigaki+ApJ753642012	-1.35	-1.35	
HD175305	J.P.Fulbright+ApJ59511542003	-1.5	-1.33	
HD175305	T.V.Mishenina+AAP3961892002		-1.47	
HD175305	I.U.Roederer+ApJ7115732010	-1.6	-1.73	
HD175305	D.L.Burris+ApJ5443022000	-1.5	-1.23	
HD175305	K.A.Venn+AJ12811772004		-1.47	
HD175305	M.Takada-Hidai+ApJ5736142002	-1.35	-1.2	
HD175305	I.U.Roederer+AJ1471362014	-1.56	-1.63	0.13
HD175305	J.P.Fulbright+AJ12018412000	-1.3	-1.45	
HD175305	I.U.Roederer+ApJ69819632009	-1.48	-1.48	
HD175305	M.N.Ishigaki+ApJ771672013	-1.35	-1.35	
HD175305	B.W.Carney+AJ1252932003	-1.39	-1.39	
HD175305	J.J.Cowan+ApJ6272382005	-1.48	-1.51	
HD178443	A.McWilliam+AJ10927571995	-2.1	-1.9	
HD178443	I.U.Roederer+AJ1471362014	-2.02	-1.99	0.69
HD178443	A.McWilliam+AJ10927361995			
HD186478	A.McWilliam+AJ10927571995	-2.7	-2.41	
HD186478	J.A.Johnson+ApJ65812032007	-2.63	-2.61	0.9
HD186478	M.Spite+AAP4306552005	-2.59	-2.59	0.71
HD186478	A.McWilliam+AJ10927361995			
HD186478	C.J.Hansen+AAP545A312012	-2.42	-2.42	
HD186478	S.M.Andrievsky+AAP509A882010	-2.59	-2.59	
HD186478	P.Francois+AAP4769352007	-2.6	-2.59	
HD186478	J.A.Johnson+ApJ5796162002		-2.43	
HD186478	S.Honda+ApJS1521132004			
HD186478	I.U.Roederer+ApJ7249752010		-2.56	
HD186478	J.A.Johnson+ApJ5548882001	-2.4	-2.44	
HD186478	S.Honda+ApJ6074742004	-2.5	-2.49	
HD186478	J.A.Johnson+ApJS1392192002	-2.4	-2.59	
HD186478	S.M.Andrievsky+AAP4814812008	-2.59	-2.59	
HD186478	S.M.Andrievsky+AAP49410832009	-2.59	-2.59	
HD186478	R.Cayrel+AAP41611172004	-2.59	-2.57	0.49
HD186478	H.Li+ApJ852L312018		-2.55	
HD186478	M.Spite+AAP541A1432012	-2.59	-2.59	
HD186478	D.L.Burris+ApJ5443022000	-2.2	-2.41	
HD186478	K.A.Venn+AJ12811772004		-2.58	
HD186478	S.M.Andrievsky+AAP46410812007	-2.59	-2.59	
HD186478	I.U.Roederer+AJ1471362014	-2.78	-2.75	0.63
HD186478	I.U.Roederer+ApJ69819632009	-2.56	-2.56	
HD186478	M.Spite+AAP4552912006	-2.59	-2.59	0.71
HD186478	M.Spite+AAP528A92011	-2.59	-2.59	
HD186478	J.Simmerer+ApJ61710912004	-2.56	-2.56	
HD186478	B.W.Carney+AJ1252932003	-2.45	-2.45	
HD186478	J.J.Cowan+ApJ6272382005	-2.56	-2.59	
HD186478	F.Spite+AAP611A302018	-2.6	-2.59	
HD187216	T.Kipper+AAP2901481994	-2.48	-2.48	0.25
HD193901	K.Jonsell+AAP4403212005	-1.16	-1.08	
HD193901	P.E.Nissen+AAP4693192007	-1.1	-1.1	
HD193901	R.G.Gratton+AAP3541692000	-0.91	-0.96	
HD193901	C.J.Akerman+AAP4149312004	-1.12	-1.12	
HD193901	I.U.Roederer+ApJ7249752010		-1.08	
HD193901	R.Smiljanic+AAP4991032009	-1	-1	
HD193901	J.Melendez+AAP515L32010	-1.07	-1.07	
HD193901	P.E.Nissen+AAP4159932004	-1.12	-1.12	
HD193901	P.E.Nissen+AAP511L102010	-1.09	-1.07	
HD193901	M.N.Ishigaki+ApJ753642012	-0.93	-0.93	
HD193901	R.G.Gratton+AAP4041872003	-1.05	-1.1	
HD193901	B.E.Reddy+MNRAS36713292006	-0.99	-1.04	
HD193901	J.Melendez+ApJ64210822006	-0.9	-1.09	
HD193901	Y.Takeda+PASJ63S5372011	-1.1	-1.1	
HD193901	K.A.Venn+AJ12811772004		-1.17	
HD193901	A.Ford+AAP3936172002	-1.13	-1.13	
HD193901	M.Takada-Hidai+ApJ5736142002	-1	-1.12	
HD193901	I.U.Roederer+AJ1471362014	-1.28	-1.29	-0.49
HD193901	J.P.Fulbright+AJ12018412000	-1	-1.15	
HD193901	T.Bensby+AAP562A712014	-1.1	-1.15	
HD193901	M.N.Ishigaki+ApJ771672013	-0.93	-0.93	
HD193901	C.Charbonnel+AAP4429612005	-1.15	-1.15	
HD193901	E.Caffau+AAP4415332005	-1.09	-1.09	
HD193901	D.Fabbian+AAP50011432009	-1.1	-1.15	
HD193901	J.Simmerer+ApJ61710912004	-1.08	-1.08	
HD193901	H.L.Yan+AAP5851022016	-1.07	-1.07	
HD193901	P. E. Nissen+AAP530A152011	-1.09	-1.09	
HD194598	K.Jonsell+AAP4403212005	-1.14	-1.08	
HD194598	P.E.Nissen+AAP4693192007	-1.15	-1.15	
HD194598	G.Israelian+ApJ 557L432001	-1.06	-1.06	
HD194598	R.G.Gratton+AAP3541692000	-1.05	-1.11	-0.01
HD194598	A.M.Boesgaard+ApJ66711962007	-1.23	-1.23	
HD194598	J.A.Rich+ApJ70115192009	-1.25	-1.25	
HD194598	C.J.Akerman+AAP4149312004	-1.17	-1.17	
HD194598	G.Bihain+AAP4237772004	-1.2	-1.03	
HD194598	T.V.Mishenina+AAP3709512001	-1.16	-1.11	
HD194598	I.U.Roederer+ApJ7249752010		-1.08	
HD194598	R.Smiljanic+AAP4991032009	-1.1	-1.1	
HD194598	J.Melendez+AAP515L32010	-1.13	-1.13	
HD194598	P.E.Nissen+AAP4159932004	-1.17	-1.17	
HD194598	P.E.Nissen+AAP511L102010	-1.09	-1.08	
HD194598	A.M.Boesgaard+ApJ7431402011	-1.23	-1.23	
HD194598	J.R.Shi+AAP4655872007	-1.16	-1.15	
HD194598	R.G.Gratton+AAP4041872003	-1.12	-1.18	
HD194598	J.Melendez+ApJ64210822006	-0.9	-1.18	
HD194598	A.M.Boesgaard+AJ1174921999	-1.16	-0.99	
HD194598	Y.Takeda+PASJ63S5372011	-1.15	-1.15	
HD194598	T.V.Mishenina+AAP3961892002		-1.16	
HD194598	K.A.Venn+AJ12811772004		-1.23	
HD194598	A.Ford+AAP3936172002	-1.37	-1.37	
HD194598	J.P.Fulbright+AJ12018412000	-1.1	-1.21	
HD194598	T.Bensby+AAP562A712014	-1.11	-1.16	
HD194598	C.Charbonnel+AAP4429612005	-1.45	-1.45	
HD194598	E.Caffau+AAP4415332005	-1.17	-1.17	
HD194598	D.Fabbian+AAP50011432009	-1.15	-1.2	
HD194598	J.Simmerer+ApJ61710912004	-1.08	-1.08	
HD194598	H.L.Yan+AAP5851022016	-1.08	-1.08	
HD194598	T.Gehren+AAP45110652006	-1.16	-1.15	
HD194598	P. E. Nissen+AAP530A152011	-1.09	-1.09	
HD196944	K.Jonsell+AAP4403212005	-2.23	-2.34	
HD196944	I.U.Roederer+AJ1471362014	-2.39	-2.39	1.51
HD196944	I.U.Roederer+ApJ6757232008	-2.46	-2.44	
HD196944	T.Masseron+AAP509A932010	-2.19	-2.24	1.41
HD196944	W.Aoki+PASJ549332002	-2.25	-2.25	1.44
HD196944	S.VanEck+AAP4042912003		-2.4	
HD196944	W.Aoki+ApJ58011492002	-2.25	-2.25	
HD196944	V.Placco+ApJ8121092015	-2.41	-2.41	1.08
HD198269	T.Masseron+ApJ751142012	-1.84	-1.89	1.26
HD198269	S.VanEck+AAP4042912003		-2.2	
HD200654	K.Jonsell+AAP4403212005	-2.99	-2.99	
HD200654	A.McWilliam+AJ10927571995	-2.9	-2.65	
HD200654	I.U.Roederer+AJ1471362014	-3.06	-3.13	-0.33
HD200654	A.McWilliam+AJ10927361995			
HD200654	A.E.GarciaPerez+AAP4516212006	-2.75	-2.73	
HD200654	A.E.GarciaPerez+AAP4472992006	-2.73	-2.73	
HD201626	S.VanEck+AAP4042912003		-2.1	
HD201626	V.Placco+ApJ8121092015	-1.51	-1.51	0.38
HD201891	K.Jonsell+AAP4403212005	-1.14	-1.12	
HD201891	R.G.Gratton+AAP3541692000	-1.04	-1.08	0.29
HD201891	T.V.Mishenina+AAP552A1282013	-0.96	-0.96	
HD201891	G.Bihain+AAP4237772004	-1.05	-0.88	
HD201891	T.V.Mishenina+AAP3709512001	-0.99	-0.99	
HD201891	I.U.Roederer+ApJ7249752010		-1.09	
HD201891	Y.Q.Chen+1414912000	-1.04	-1.04	
HD201891	J.Melendez+AAP515L32010	-1.05	-1.05	
HD201891	A.M.Besgaard+ApJ64111222006	-1.07	-1.06	
HD201891	A.M.Boesgaard+ApJ7431402011	-1.07	-1.07	
HD201891	J.P.Fulbright+ApJ59511542003	-1.1	-1.11	
HD201891	J.R.Shi+AAP4655872007	-1.05	-1.04	
HD201891	R.G.Gratton+AAP4041872003	-1.08	-1.11	
HD201891	B.E.Reddy+MNRAS36713292006	-1.07	-1.12	
HD201891	T.V.Mishenina+AAP3961892002		-0.99	
HD201891	Y.Takeda+PASJ63S5372011	-1.1	-1.1	
HD201891	K.A.Venn+AJ12811772004		-1.12	
HD201891	A.Ford+AAP3936172002	-1.22	-1.22	
HD201891	M.Takada-Hidai+ApJ5736142002	-1	-1.23	
HD201891	I.U.Roederer+AJ1471362014	-1.21	-1.2	0.39
HD201891	J.P.Fulbright+AJ12018412000	-1	-1.1	
HD201891	T.Bensby+AAP562A712014	-1.08	-1.13	
HD201891	C.Charbonnel+AAP4429612005	-0.8	-0.8	
HD201891	J.Simmerer+ApJ61710912004	-1.09	-1.09	
HD201891	T.Gehren+AAP45110652006	-1.07	-1.06	
HD206983	T.Masseron+AAP509A932010	-0.99	-1.04	1.21
HD207585	T.Masseron+AAP509A932010	-0.2	-0.25	0.12
HD211173	T.Masseron+AAP509A932010	-0.12	-0.17	0.24
HD219116	T.Masseron+AAP509A932010	-0.34	-0.39	0.26
HD220127	I.U.Roederer+AJ1471362014	-1.85	-1.7	-0.05
HD221170	I.Ivans+ApJ6456132006	-2.19	-2.16	0.79
HD221170	J.Melendez+ApJ5568582001	-2.11	-2.11	
HD221170	T.V.Mishenina+AAP3709512001	-2.05	-2.05	
