Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains (0.0100 microns):
f(x) = -1.23011683e-02x^6 + 5.47237891e-01x^5 + -1.00148330e+01x^4 + 9.65438468e+01x^3 + -5.17901524e+02x^2 + 1.47005987e+03x^1 + -1.73821405e+03x^0 

Original Data (Tgas, Yield):
4.008806e+04, 1.125629e-12
4.297005e+04, 1.869137e-12
4.605922e+04, 2.990776e-12
4.937048e+04, 6.157516e-12
5.291979e+04, 9.678032e-12
5.672426e+04, 1.474226e-11
6.080224e+04, 2.189057e-11
6.517340e+04, 3.171973e-11
6.985880e+04, 4.498397e-11
7.488104e+04, 6.248558e-11
8.026434e+04, 8.513982e-11
8.603464e+04, 1.139524e-10
9.221979e+04, 1.500127e-10
9.884959e+04, 1.944868e-10
1.059560e+05, 2.486097e-10
1.135733e+05, 3.136764e-10
1.217383e+05, 3.910298e-10
1.304902e+05, 4.820421e-10
1.398713e+05, 5.880860e-10
1.499268e+05, 7.104923e-10
1.607053e+05, 8.504904e-10
1.722586e+05, 1.009045e-09
1.846425e+05, 1.187096e-09
1.979167e+05, 1.384962e-09
2.121452e+05, 1.606342e-09
2.273966e+05, 1.845131e-09
2.437444e+05, 2.102469e-09
2.612675e+05, 2.376447e-09
2.800504e+05, 2.664390e-09
3.001836e+05, 2.962871e-09
3.217642e+05, 3.267777e-09
3.448962e+05, 3.574424e-09
3.696913e+05, 3.877711e-09
3.962689e+05, 4.172316e-09
4.247572e+05, 4.459345e-09
4.552935e+05, 4.722424e-09
4.880252e+05, 4.961817e-09
5.231099e+05, 5.173351e-09
5.607170e+05, 5.353574e-09
6.010277e+05, 5.499850e-09
6.442364e+05, 5.610424e-09
6.905514e+05, 5.684427e-09
7.401960e+05, 5.721856e-09
7.934097e+05, 5.723507e-09
8.504489e+05, 5.681982e-09
9.115888e+05, 5.616632e-09
9.771242e+05, 5.521797e-09
1.047371e+06, 5.401983e-09
1.122668e+06, 5.257366e-09
1.203378e+06, 5.092753e-09
1.289890e+06, 4.911503e-09
1.382622e+06, 4.716916e-09
1.482021e+06, 4.512160e-09
1.588565e+06, 4.300216e-09
1.702769e+06, 4.083835e-09
1.825183e+06, 3.865512e-09
1.956398e+06, 3.647466e-09
2.097046e+06, 3.431637e-09
2.247806e+06, 3.219688e-09
2.409404e+06, 3.013013e-09
2.582619e+06, 2.812755e-09
2.768287e+06, 2.618542e-09
2.967302e+06, 2.433698e-09
3.180626e+06, 2.257366e-09
3.409285e+06, 2.088364e-09
3.654383e+06, 1.929967e-09
3.917101e+06, 1.780643e-09
4.198707e+06, 1.640335e-09
4.500558e+06, 1.508897e-09
4.824109e+06, 1.386114e-09
5.170920e+06, 1.271709e-09
5.542665e+06, 1.165364e-09
5.941134e+06, 1.066729e-09
6.368250e+06, 9.754301e-10
6.826072e+06, 8.857840e-10
7.316807e+06, 8.084271e-10
7.842822e+06, 7.372027e-10
8.406653e+06, 6.717228e-10
9.011018e+06, 6.116076e-10
9.658832e+06, 5.564885e-10
1.035322e+07, 5.060109e-10
1.109752e+07, 4.598352e-10
1.189534e+07, 4.176385e-10
1.275051e+07, 3.791149e-10
1.366716e+07, 3.437341e-10
1.464971e+07, 3.093555e-10
1.570290e+07, 2.804264e-10
1.683180e+07, 2.572637e-10
1.804186e+07, 2.330342e-10
1.933892e+07, 2.110132e-10
2.072922e+07, 1.910110e-10
2.221947e+07, 1.728523e-10
2.381686e+07, 1.563755e-10
2.552908e+07, 1.414319e-10
2.736440e+07, 1.278848e-10
2.933166e+07, 1.156086e-10
3.144035e+07, 1.044884e-10
3.370064e+07, 9.441888e-11
3.612343e+07, 8.530375e-11
3.872039e+07, 7.705512e-11
4.150405e+07, 6.981448e-11
4.448783e+07, 6.322306e-11
4.768612e+07, 5.708385e-11
5.111433e+07, 5.153391e-11
5.478901e+07, 4.651779e-11
5.872787e+07, 4.196969e-11
6.294989e+07, 3.787600e-11
6.747544e+07, 3.417815e-11
7.232634e+07, 3.083843e-11
7.752597e+07, 2.782260e-11
8.309942e+07, 2.509964e-11
8.907355e+07, 2.264144e-11
9.547716e+07, 2.042253e-11
1.023411e+08, 1.841985e-11
1.096986e+08, 1.657985e-11
1.175850e+08, 1.495219e-11
1.260383e+08, 1.348358e-11
1.350994e+08, 1.215862e-11
1.448118e+08, 1.096333e-11
1.552225e+08, 9.885116e-12
1.663817e+08, 8.912577e-12
1.783431e+08, 8.035412e-12
1.911644e+08, 7.244319e-12
2.049075e+08, 6.530892e-12
2.196385e+08, 5.887542e-12
2.354286e+08, 5.260999e-12
2.523539e+08, 4.742470e-12
2.704960e+08, 4.318106e-12
2.899423e+08, 3.892328e-12
3.107866e+08, 3.508456e-12
3.331295e+08, 3.162378e-12
3.570786e+08, 2.850382e-12
3.827494e+08, 2.569122e-12
4.102658e+08, 2.315577e-12
4.397604e+08, 2.087021e-12
4.713753e+08, 1.880997e-12
5.052631e+08, 1.695289e-12
5.415871e+08, 1.527896e-12
5.805226e+08, 1.377015e-12
6.222571e+08, 1.241020e-12
6.669920e+08, 1.117094e-12
7.149429e+08, 1.007798e-12
7.663411e+08, 9.082413e-13
8.214344e+08, 8.185125e-13
8.804884e+08, 7.376427e-13
9.437878e+08, 6.651461e-13
1.011638e+09, 6.002641e-13
1.084366e+09, 5.409465e-13
1.162322e+09, 4.874877e-13
1.245883e+09, 4.393096e-13
1.335452e+09, 3.958909e-13
1.431459e+09, 3.567617e-13
