energy[ev]	n     k
      1537.40      0.99971635   4.8044462e-05
      1537.50      0.99971638   4.8033204e-05
      1537.60      0.99971642   4.8021949e-05
      1537.70      0.99971645   4.8010696e-05
      1537.80      0.99971649   4.7999432e-05
      1537.90      0.99971652   4.7988184e-05
      1538.00      0.99971656   4.7976939e-05
      1538.10      0.99971659   4.7965696e-05
      1538.20      0.99971663   4.7954456e-05
      1538.30      0.99971666   4.7943204e-05
      1538.40      0.99971670   4.7931969e-05
      1538.50      0.99971674   4.7920736e-05
      1538.60      0.99971677   4.7909506e-05
      1538.70      0.99971681   4.7898279e-05
      1538.80      0.99971684   4.7887040e-05
      1538.90      0.99971688   4.7875817e-05
      1539.00      0.99971691   4.7864597e-05
      1539.10      0.99971695   4.7853380e-05
      1539.20      0.99971698   4.7842165e-05
      1539.30      0.99971702   4.7830938e-05
      1539.40      0.99971705   4.7819728e-05
      1539.50      0.99971709   4.7808521e-05
      1539.60      0.99971712   4.7797316e-05
      1539.70      0.99971716   4.7786113e-05
      1539.80      0.99971719   4.7774899e-05
      1539.90      0.99971723   4.7763702e-05
      1540.00      0.99971726   4.7752507e-05
      1540.10      0.99971730   4.7741314e-05
      1540.20      0.99971733   4.7730124e-05
      1540.30      0.99971737   4.7718923e-05
      1540.40      0.99971741   4.7707738e-05
      1540.50      0.99971744   4.7696556e-05
      1540.60      0.99971748   4.7685376e-05
      1540.70      0.99971751   4.7674198e-05
      1540.80      0.99971755   4.7663010e-05
      1540.90      0.99971758   4.7651837e-05
      1541.00      0.99971762   4.7640667e-05
      1541.10      0.99971765   4.7629500e-05
      1541.20      0.99971769   4.7618335e-05
      1541.30      0.99971772   4.7607159e-05
      1541.40      0.99971776   4.7595999e-05
      1541.50      0.99971779   4.7584841e-05
      1541.60      0.99971783   4.7573686e-05
      1541.70      0.99971786   4.7562534e-05
      1541.80      0.99971790   4.7551510e-05
      1541.90      0.99971793   4.7540563e-05
      1542.00      0.99971797   4.7529618e-05
      1542.10      0.99971800   4.7518675e-05
      1542.20      0.99971804   4.7507735e-05
      1542.30      0.99971807   4.7496784e-05
      1542.40      0.99971811   4.7485849e-05
      1542.50      0.99971815   4.7474916e-05
      1542.60      0.99971818   4.7463985e-05
      1542.70      0.99971822   4.7453057e-05
      1542.80      0.99971825   4.7442119e-05
      1542.90      0.99971829   4.7431195e-05
      1543.00      0.99971832   4.7420275e-05
      1543.10      0.99971836   4.7409357e-05
      1543.20      0.99971839   4.7398441e-05
      1543.30      0.99971843   4.7387514e-05
      1543.40      0.99971846   4.7376603e-05
      1543.50      0.99971850   4.7365695e-05
      1543.60      0.99971853   4.7354789e-05
      1543.70      0.99971857   4.7343885e-05
      1543.80      0.99971861   4.7332970e-05
      1543.90      0.99971864   4.7322072e-05
      1544.00      0.99971868   4.7311175e-05
      1544.10      0.99971871   4.7300281e-05
      1544.20      0.99971875   4.7289390e-05
      1544.30      0.99971878   4.7278487e-05
      1544.40      0.99971882   4.7267601e-05
      1544.50      0.99971885   4.7256716e-05
      1544.60      0.99971889   4.7245835e-05
      1544.70      0.99971892   4.7234955e-05
      1544.80      0.99971896   4.7224065e-05
      1544.90      0.99971899   4.7213190e-05
      1545.00      0.99971903   4.7202318e-05
      1545.10      0.99971906   4.7191448e-05
      1545.20      0.99971910   4.7180582e-05
      1545.30      0.99971913   4.7169710e-05
      1545.40      0.99971917   4.7158854e-05
      1545.50      0.99971920   4.7148000e-05
      1545.60      0.99971924   4.7137148e-05
      1545.70      0.99971927   4.7126299e-05
      1545.80      0.99971931   4.7115439e-05
      1545.90      0.99971935   4.7104595e-05
      1546.00      0.99971938   4.7093753e-05
      1546.10      0.99971942   4.7082914e-05
      1546.20      0.99971945   4.7072077e-05
      1546.30      0.99971949   4.7061229e-05
      1546.40      0.99971952   4.7050397e-05
      1546.50      0.99971956   4.7039567e-05
      1546.60      0.99971959   4.7028740e-05
      1546.70      0.99971963   4.7017915e-05
      1546.80      0.99971966   4.7007079e-05
      1546.90      0.99971970   4.6996259e-05
      1547.00      0.99971973   4.6985442e-05
      1547.10      0.99971977   4.6974626e-05
      1547.20      0.99971980   4.6963813e-05
      1547.30      0.99971984   4.6952990e-05
      1547.40      0.99971987   4.6942182e-05
      1547.50      0.99971991   4.6931376e-05
      1547.60      0.99971994   4.6920573e-05
      1547.70      0.99971998   4.6909772e-05
      1547.80      0.99972001   4.6898960e-05
      1547.90      0.99972005   4.6888164e-05
      1548.00      0.99972008   4.6877370e-05
      1548.10      0.99972012   4.6866579e-05
      1548.20      0.99972015   4.6855790e-05
      1548.30      0.99972019   4.6844990e-05
      1548.40      0.99972023   4.6834206e-05
      1548.50      0.99972026   4.6823425e-05
      1548.60      0.99972030   4.6812645e-05
      1548.70      0.99972033   4.6801868e-05
      1548.80      0.99972037   4.6791081e-05
      1548.90      0.99972040   4.6780309e-05
      1549.00      0.99972044   4.6769539e-05
      1549.10      0.99972047   4.6758771e-05
      1549.20      0.99972051   4.6748006e-05
      1549.30      0.99972054   4.6737231e-05
      1549.40      0.99972058   4.6726471e-05
      1549.50      0.99972061   4.6715713e-05
      1549.60      0.99972065   4.6704957e-05
      1549.70      0.99972068   4.6694204e-05
      1549.80      0.99972072   4.6683441e-05
      1549.90      0.99972075   4.6672692e-05
      1550.00      0.99972079   4.6661946e-05
      1550.10      0.99972082   4.6651203e-05
      1550.20      0.99972086   4.6640462e-05
      1550.30      0.99972089   4.6629710e-05
      1550.40      0.99972093   4.6618974e-05
      1550.50      0.99972096   4.6608240e-05
      1550.60      0.99972100   4.6597508e-05
      1550.70      0.99972103   4.6586779e-05
      1550.80      0.99972107   4.6576039e-05
      1550.90      0.99972110   4.6565315e-05
      1551.00      0.99972114   4.6554593e-05
      1551.10      0.99972117   4.6543873e-05
      1551.20      0.99972121   4.6533156e-05
      1551.30      0.99972124   4.6522428e-05
      1551.40      0.99972128   4.6511715e-05
      1551.50      0.99972131   4.6501005e-05
      1551.60      0.99972135   4.6490297e-05
      1551.70      0.99972138   4.6479592e-05
      1551.80      0.99972141   4.6468876e-05
      1551.90      0.99972145   4.6458175e-05
      1552.00      0.99972148   4.6447477e-05
      1552.10      0.99972152   4.6436781e-05
      1552.20      0.99972155   4.6426087e-05
      1552.30      0.99972159   4.6415383e-05
      1552.40      0.99972162   4.6404694e-05
      1552.50      0.99972166   4.6394008e-05
      1552.60      0.99972169   4.6383324e-05
      1552.70      0.99972173   4.6372642e-05
      1552.80      0.99972176   4.6361949e-05
      1552.90      0.99972180   4.6351272e-05
      1553.00      0.99972183   4.6340598e-05
      1553.10      0.99972187   4.6329926e-05
      1553.20      0.99972190   4.6319256e-05
      1553.30      0.99972194   4.6308575e-05
      1553.40      0.99972197   4.6297910e-05
      1553.50      0.99972201   4.6287247e-05
      1553.60      0.99972204   4.6276587e-05
      1553.70      0.99972208   4.6265929e-05
      1553.80      0.99972211   4.6255260e-05
      1553.90      0.99972215   4.6244607e-05
