# Object	Reference	Metallicity	[Fe/H]	[C/Fe]
BD+35_4669	B.E.Reddy+MNRAS36713292006	0.14	0.09	0.33
BD+36_1898	B.E.Reddy+MNRAS36713292006	-0.85	-0.9	0.57
BD+37_1458	A.M.Boesgaard+ApJ7431402011	-2.02	-2.02	
BD+37_1458	R.G.Gratton+AAP3541692000	-2	-2.07	
BD+37_1458	D.K.Lai+ApJ66711852007	-2.01	-1.84	0.26
BD+37_1458	J.P.Fulbright+ApJ59511542003	-2.2	-1.96	
BD+37_1458	Y.Saito+PASJ615492009	-2.08	-1.99	
BD+37_1458	A.M.Boesgaard+AJ1174921999	-2.06	-1.89	
BD+37_1458	J.A.Rich+ApJ70115192009	-2.14	-2.14	
BD+37_1458	G.Bihain+AAP4237772004	-2.17	-2	
BD+37_1458	K.A.Venn+AJ12811772004		-2.17	
BD+37_1458	J.P.Fulbright+AJ12018412000	-2	-2.15	
BD+37_1458	C.Charbonnel+AAP4429612005	-2.03	-2.03	
BD+42_2667	P.E.Nissen+AAP511L102010	-1.39	-1.39	
BD+42_2667	A.M.Boesgaard+ApJ7431402011	-1.44	-1.44	
BD+42_2667	R.G.Gratton+AAP4041872003	-1.44	-1.49	
BD+42_2667	B.E.Reddy+MNRAS36713292006	-1.34	-1.39	
BD+42_2667	K.A.Venn+AJ12811772004		-1.48	
BD+42_2667	A.Stephens+AJ12316472002	-1.38	-1.37	
BD+42_2667	G.S.Bai+AAP4256712004	-1.45	-1.45	
BD+42_2667	J.P.Fulbright+AJ12018412000	-1.3	-1.46	
BD+42_2667	T.Bensby+AAP562A712014	-1.43	-1.48	
BD+42_2667	C.Charbonnel+AAP4429612005	-1.56	-1.56	
BD+42_2667	I.U.Roederer+ApJ7249752010		-1.34	
BD+42_2667	J.Simmerer+ApJ61710912004	-1.34	-1.34	-0.32
BD+42_2667	H.L.Yan+AAP5851022016	-1.39	-1.39	
BD+42_2667	A.M.Boesgaard+ApJ6333982005	-1.38	-1.36	
BD+42_2667	J.Melendez+AAP515L32010	-1.4	-1.4	
BD+42_2667	P. E. Nissen+AAP530A152011	-1.39	-1.39	
BD+44_493	Y.Takeda+PASJ63S5372011	-3.68	-3.68	
BD+44_493	I.U.Roederer+ApJ824L192016	-3.8	-4.07	
BD+44_493	V.M.Placco+ApJ790342014	-3.8	-3.88	1.23
BD+44_493	H.Ito+ApJ698L372009	-3.68	-3.73	1.32
BD+44_493	I.U.Roederer+AJ1471362014	-4.26	-4.28	1.2
BD+44_493	H.Ito+ApJ773332013	-3.8	-3.83	1.35
BD+44_493	I.U.Roederer+ApJ7841582014	-4.26	-4.28	1.2
BD+44_493	B.W.Carney+AJ1252932003	-2.71	-2.71	
BD+45_919	B.E.Reddy+MNRAS36713292006	-0.84	-0.89	0.8
BD+46_1264	B.E.Reddy+MNRAS36713292006	-0.19	-0.24	0.17
BD+46_610	B.E.Reddy+MNRAS36713292006	-0.8	-0.85	0.55
BD+51_1696	P.E.Nissen+AAP511L102010	-1.34	-1.34	
BD+51_1696	A.M.Boesgaard+ApJ7431402011	-1.21	-1.21	
BD+51_1696	M.N.Ishigaki+ApJ753642012	-1.23	-1.23	
BD+51_1696	B.E.Reddy+MNRAS36713292006	-1.5	-1.55	
BD+51_1696	G.S.Bai+AAP4256712004	-1.48	-1.48	
BD+51_1696	M.N.Ishigaki+ApJ771672013	-1.23	-1.23	
BD+51_1696	I.U.Roederer+ApJ7249752010		-1.34	
BD+51_1696	J.Simmerer+ApJ61710912004	-1.34	-1.34	0.13
BD+51_1696	H.L.Yan+AAP5851022016	-1.34	-1.34	
BD+51_1696	J.Melendez+AAP515L32010	-1.4	-1.4	
BD+51_1696	P. E. Nissen+AAP530A152011	-1.34	-1.34	
BD+59_1609	B.E.Reddy+MNRAS36713292006	-0.54	-0.59	0.58
BD+65_737	B.E.Reddy+MNRAS36713292006	-0.65	-0.7	0.52
BD+67_1034	B.E.Reddy+MNRAS36713292006	-0.59	-0.64	0.56
BD+68_394	B.E.Reddy+MNRAS36713292006	-0.89	-0.94	0.49
BD+70_1218	B.E.Reddy+MNRAS36713292006	-0.38	-0.43	0.63
BD+70_950	B.E.Reddy+MNRAS36713292006	-0.4	-0.45	0.48
BD+73_943	B.E.Reddy+MNRAS36713292006	-0.5	-0.55	0.56
BD+77_876	B.E.Reddy+MNRAS36713292006	-0.42	-0.47	0.38
BD+79_22	B.E.Reddy+MNRAS36713292006	-0.87	-0.92	0.39
BD+80_245	I.U.Roederer+AJ1471362014	-2.01	-2.04	0.22
BD+80_245	J.P.Fulbright+AJ12018412000	-1.9	-2.03	
BD+80_245	I.I.Ivans+ApJ5929062003	-2.07	-2.07	
BD+80_245	K.A.Venn+AJ12811772004		-2.05	
BD-01_2582	I.U.Roederer+AJ1471362014	-2.65	-2.62	0.86
BD-01_2582	C.Charbonnel+AAP4429612005	-2.29	-2.29	
BD-01_2582	I.U.Roederer+ApJ7249752010		-2.21	
BD-01_2582	B.W.Carney+AJ1252932003	-2.32	-2.32	
BD-01_2582	J.Simmerer+ApJ61710912004	-2.21	-2.21	0.98
BD-01_2582	A.E.GarciaPerez+AAP4516212006	-2.13	-2.11	
BD-01_2582	A.E.GarciaPerez+AAP4472992006	-2.11	-2.11	
BD-01_2582	D.L.Burris+ApJ5443022000	-2	-2.08	
BD-01_2582	C.M.Sakari+ApJ8681102018	-2.49	-2.49	
BD-01_306	R.G.Gratton+AAP4041872003	-0.87	-0.92	
BD-01_306	B.E.Reddy+MNRAS36713292006	-0.87	-0.92	
BD-01_306	I.U.Roederer+ApJ7249752010		-1.13	
BD-01_306	R.Smiljanic+AAP4991032009	-0.8	-0.8	
BD-01_306	J.Simmerer+ApJ61710912004	-1.13	-1.13	0.03
BD-01_306	K.A.Venn+AJ12811772004		-0.98	
BD-03_2525	J.P.Fulbright+AJ12018412000	-1.8	-1.94	
BD-03_2525	R.G.Gratton+AAP4041872003	-2.05	-2.11	
BD-03_2525	D.K.Lai+ApJ66711852007	-1.75	-1.58	0.06
BD-03_2525	R.Smiljanic+AAP4991032009	-1.8	-1.8	
BD-03_2525	K.A.Venn+AJ12811772004		-1.96	
BD-04_2862	B.E.Reddy+MNRAS36713292006	-0.57	-0.62	0.54
BD-04_3208	P.E.Nissen+AAP4693192007	-2.29	-2.29	
BD-04_3208	C.J.Hansen+AAP545A312012	-2.27	-2.27	
BD-04_3208	J.A.Rich+ApJ70115192009	-2.35	-2.35	
BD-04_3208	C.J.Akerman+AAP4149312004	-2.27	-2.27	0.31
BD-04_3208	K.F.Tan+MNRAS3922052009	-2.28	-2.27	
BD-04_3208	A.E.GarciaPerez+AAP5042132009	-2.28	-2.28	
BD-04_3208	J.Melendez+AAP515L32010	-2.29	-2.29	
BD-04_3208	P.E.Nissen+AAP4159932004	-2.27	-2.27	
BD-04_3208	M.Bergemann+AAP4928232008	-2.23	-2.23	
BD-04_3208	J.R.Shi+AAP4655872007	-2.23	-2.22	
BD-04_3208	J.Melendez+ApJ64210822006	-2.1	-2.33	
BD-04_3208	A.M.Boesgaard+AJ1174921999	-2.31	-2.14	
BD-04_3208	K.A.Venn+AJ12811772004		-2.62	
BD-04_3208	P.E.Nissen+AAP3902352002	-2.3	-2.27	
BD-04_3208	J.P.Fulbright+AJ12018412000	-2.5	-2.6	
BD-04_3208	C.Charbonnel+AAP4429612005	-2.23	-2.23	
BD-04_3208	D.Fabbian+AAP50011432009	-2.29	-2.34	0.39
BD-04_3208	M.Asplund+ApJ6442292006	-2.3	-2.3	
BD-133442	D.Fabbian+AAP50011432009	-2.69	-2.74	0.45
BD-15_5781	I.U.Roederer+AJ1471362014	-2.87	-2.92	-0.34
BD-15_5781	B.W.Carney+AJ1252932003	-2.47	-2.47	
BD-15_5781	D.L.Burris+ApJ5443022000	-3	-2.19	
BD-18_0271	M.N.Ishigaki+ApJ753642012	-2.58	-2.58	
BD-18_0271	M.N.Ishigaki+ApJ771672013	-2.58	-2.58	
BD-18_0271	M.Ishigaki+PASJ621432010	-2.66	-2.66	
BD-18_0271	B.W.Carney+AJ1252932003	-1.98	-1.98	
BD-18_0271	J.Melendez+ApJ5754742002	-2.35	-2.35	-0.61
BD-18_5550	A.McWilliam+AJ10927571995		-2.74	-0.04
BD-18_5550	J.A.Johnson+ApJ65812032007	-2.89	-2.87	-0.09
BD-18_5550	M.Spite+AAP4306552005	-3.06	-3.06	0.07
BD-18_5550	A.McWilliam+AJ10927361995			
BD-18_5550	S.M.Andrievsky+AAP509A882010	-3.06	-3.06	
BD-18_5550	G.Bihain+AAP4237772004	-3.01	-2.84	
BD-18_5550	T.V.Mishenina+AAP3709512001	-3.01	-3.01	
BD-18_5550	J.K.Hollek+ApJ742542011	-3.2	-3.2	0.13
BD-18_5550	P.Francois+AAP4769352007	-3	-3.06	
BD-18_5550	J.A.Johnson+ApJ5796162002		-2.87	
BD-18_5550	J.A.Johnson+ApJ5548882001	-2.9	-2.88	
BD-18_5550	J.Melendez+ApJ5754742002	-2.87	-2.87	-0.27
